season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2025,Regular Season,2025-09-10,19:00,New Mexico Utd,Detroit City,'4-0,"7,347",Joshua Encarnacion,Isotopes Park,https://fbref.com/en/matches/d017309c/New-Mexico-United-Detroit-City-September-10-2025-USL-Championship,4,0,d017309c
73_2025,Regular Season,2025-09-12,18:00,Lexington SC,Orange County,'1-1,"3,503",Elijio Arreguin,Lexington SC Stadium,https://fbref.com/en/matches/b44089f9/Lexington-SC-Orange-County-SC-September-12-2025-USL-Championship,1,1,b44089f9
73_2025,Regular Season,2025-09-12,19:00,North Carolina,El Paso,'1-0,"2,365",Joe Surgan,First Horizon Stadium at WakeMed Soccer ...,https://fbref.com/en/matches/36e45283/North-Carolina-FC-El-Paso-Locomotive-September-12-2025-USL-Championship,1,0,36e45283
73_2025,Regular Season,2025-09-13,17:00,Loudoun United,San Antonio FC,'2-5,"2,820",Matthew Thompson,Segra Field,https://fbref.com/en/matches/aaef81d5/Loudoun-United-San-Antonio-FC-September-13-2025-USL-Championship,2,5,aaef81d5
73_2025,Regular Season,2025-09-13,19:00,Pittsburgh,Louisville City,'0-2,"5,152",Elvis Osmanovic,Highmark Stadium,https://fbref.com/en/matches/2134f08e/Pittsburgh-Riverhounds-Louisville-City-September-13-2025-USL-Championship,0,2,2134f08e
73_2025,Regular Season,2025-09-13,19:00,Rhode Island FC,Indy Eleven,'1-0,"8,498",Rodrigo Albuquerque,Centreville Bank Stadium,https://fbref.com/en/matches/4de2d1b0/Rhode-Island-FC-Indy-Eleven-September-13-2025-USL-Championship,1,0,4de2d1b0
73_2025,Regular Season,2025-09-13,19:30,Charleston,Roots,'3-3,"4,030",Mark Verso,Patriots Point Soccer Complex,https://fbref.com/en/matches/7211734b/Charleston-Battery-Oakland-Roots-September-13-2025-USL-Championship,3,3,7211734b
73_2025,Regular Season,2025-09-13,19:30,TB Rowdies,CS Switchbacks,'3-3,"3,734",Luis Arroyo,Al Lang Stadium,https://fbref.com/en/matches/6aa79bf9/Tampa-Bay-Rowdies-Colorado-Springs-Switchbacks-September-13-2025-USL-Championship,3,3,6aa79bf9
73_2025,Regular Season,2025-09-13,19:00,Sac Republic,Phx Rising,'2-2,"11,569",Trevor Wiseman,Heart Health Park,https://fbref.com/en/matches/e8fab58b/Sacramento-Republic-Phoenix-Rising-September-13-2025-USL-Championship,2,2,e8fab58b
73_2025,Regular Season,2025-09-13,19:00,New Mexico Utd,FC Tulsa,'0-1,"9,177",Calin Radosav,Isotopes Park,https://fbref.com/en/matches/94f81980/New-Mexico-United-FC-Tulsa-September-13-2025-USL-Championship,0,1,94f81980
