season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2022,Regular Season,2022-03-12,18:00,Loudoun United,Indy Eleven,'1-0,"1,031",John Matto,Segra Field,https://fbref.com/en/matches/2b51eeec/Loudoun-United-Indy-Eleven-March-12-2022-USL-Championship,1,0,2b51eeec
73_2022,Regular Season,2022-03-13,16:00,B'ham Legion,TB Rowdies,'1-1,"9,277",Matthew Thompson,Protective Stadium,https://fbref.com/en/matches/729c9978/Birmingham-Legion-Tampa-Bay-Rowdies-March-13-2022-USL-Championship,1,1,729c9978
73_2022,Regular Season,2022-03-13,17:00,New Mexico Utd,LV Lights FC,'2-0,"11,247",Gerald Flores,Isotopes Park,https://fbref.com/en/matches/4ec4b0fc/New-Mexico-United-Las-Vegas-Lights-FC-March-13-2022-USL-Championship,2,0,4ec4b0fc
73_2022,Regular Season,2022-03-12,18:00,Memphis 901,Pittsburgh,'0-3,"2,431",Kevin Broadley,AutoZone Park,https://fbref.com/en/matches/9b1ca024/Memphis-901-Pittsburgh-Riverhounds-March-12-2022-USL-Championship,0,3,9b1ca024
73_2022,Regular Season,2022-03-12,18:00,CS Switchbacks,Orange County,'2-1,"5,036",Malik Badawi,Weidner Field,https://fbref.com/en/matches/fed8efce/Colorado-Springs-Switchbacks-Orange-County-SC-March-12-2022-USL-Championship,2,1,fed8efce
73_2022,Regular Season,2022-03-12,19:00,Sac Republic,El Paso,'3-1,"11,569",Elton Garcia,Heart Health Park,https://fbref.com/en/matches/ef1f7ba2/Sacramento-Republic-El-Paso-Locomotive-March-12-2022-USL-Championship,3,1,ef1f7ba2
73_2022,Regular Season,2022-03-12,19:00,Miami FC,NY Red Bulls II,'2-0,"1,244",Gabriele Giusti,Riccardo Silva Stadium,https://fbref.com/en/matches/9750327c/Miami-FC-New-York-Red-Bulls-II-March-12-2022-USL-Championship,2,0,9750327c
73_2022,Regular Season,2022-03-12,19:00,Charleston,FC Tulsa,'1-0,"2,523",Joshua Encarnacion,Patriots Point Soccer Complex,https://fbref.com/en/matches/2c3caf67/Charleston-Battery-FC-Tulsa-March-12-2022-USL-Championship,1,0,2c3caf67
73_2022,Regular Season,2022-03-12,19:00,Loyal,Galaxy II,'2-1,"5,014",Elijio Arreguin,Torero Stadium,https://fbref.com/en/matches/9626941f/San-Diego-Loyal-LA-Galaxy-II-March-12-2022-USL-Championship,2,1,9626941f
73_2022,Regular Season,2022-03-12,19:30,San Antonio FC,Detroit City,'1-0,"6,033",Elvis Osmanovic,Toyota Field,https://fbref.com/en/matches/712e8ffa/San-Antonio-FC-Detroit-City-March-12-2022-USL-Championship,1,0,712e8ffa
73_2022,Regular Season,2022-03-12,19:30,RGV Toros,Roots,'1-0,"5,132",Brandon Stevis,H-E-B Park,https://fbref.com/en/matches/b697435d/RGV-FC-Toros-Oakland-Roots-March-12-2022-USL-Championship,1,0,b697435d
73_2022,Regular Season,2022-03-12,19:30,Phx Rising,Monterey Bay,'4-2,"8,409",Calin Radosav,Wild Horse Pass Stadium,https://fbref.com/en/matches/12f2a96d/Phoenix-Rising-Monterey-Bay-March-12-2022-USL-Championship,4,2,12f2a96d
73_2022,Regular Season,2022-03-12,19:30,Louisville City,Atlanta United 2,'1-0,"8,318",Melvin Rivas,Lynn Family Stadium,https://fbref.com/en/matches/b2853335/Louisville-City-Atlanta-United-2-March-12-2022-USL-Championship,1,0,b2853335
73_2022,Regular Season,2022-03-16,19:30,Atlanta United 2,NY Red Bulls II,'0-1,435,Sergii Demianchuk,Fifth Third Bank Stadium,https://fbref.com/en/matches/0e44b73e/Atlanta-United-2-New-York-Red-Bulls-II-March-16-2022-USL-Championship,0,1,0e44b73e
73_2022,Regular Season,2022-03-19,13:00,NY Red Bulls II,Loudoun United,'0-3,460,Jervis Atagana,MSU Soccer Park at Pittser Field,https://fbref.com/en/matches/177f5f35/New-York-Red-Bulls-II-Loudoun-United-March-19-2022-USL-Championship,0,3,177f5f35
73_2022,Regular Season,2022-03-19,16:00,Galaxy II,San Antonio FC,'1-2,500,DeShun Beard,Dignity Health Sports Park,https://fbref.com/en/matches/67dafbdd/LA-Galaxy-II-San-Antonio-FC-March-19-2022-USL-Championship,1,2,67dafbdd
73_2022,Regular Season,2022-03-19,16:00,Detroit City,Charleston,'1-0,"5,344",Elton Garcia,Keyworth Stadium,https://fbref.com/en/matches/67ca1b6f/Detroit-City-Charleston-Battery-March-19-2022-USL-Championship,1,0,67ca1b6f
73_2022,Regular Season,2022-03-19,18:00,Memphis 901,Roots,'2-1,"3,023",Ben Meyer,AutoZone Park,https://fbref.com/en/matches/e6cd0ad9/Memphis-901-Oakland-Roots-March-19-2022-USL-Championship,2,1,e6cd0ad9
73_2022,Regular Season,2022-03-19,19:00,Pittsburgh,Hartford Athletic,'2-1,"2,776",John Matto,Highmark Stadium,https://fbref.com/en/matches/125b5817/Pittsburgh-Riverhounds-Hartford-Athletic-March-19-2022-USL-Championship,2,1,125b5817
73_2022,Regular Season,2022-03-19,19:30,TB Rowdies,Indy Eleven,'2-0,"5,192",Jeremy Scheer,Al Lang Stadium,https://fbref.com/en/matches/fad12baa/Tampa-Bay-Rowdies-Indy-Eleven-March-19-2022-USL-Championship,2,0,fad12baa
73_2022,Regular Season,2022-03-19,19:30,Louisville City,Miami FC,'2-0,"8,846",Gerald Flores,Lynn Family Stadium,https://fbref.com/en/matches/1fa0c9ef/Louisville-City-Miami-FC-March-19-2022-USL-Championship,2,0,1fa0c9ef
73_2022,Regular Season,2022-03-19,18:00,CS Switchbacks,Monterey Bay,'1-0,"5,292",Brad Jensen,Weidner Field,https://fbref.com/en/matches/0dee26b2/Colorado-Springs-Switchbacks-Monterey-Bay-March-19-2022-USL-Championship,1,0,0dee26b2
73_2022,Regular Season,2022-03-19,19:00,LV Lights FC,Phx Rising,'2-1,,Joseph Salinas,Cashman Field,https://fbref.com/en/matches/2faf134e/Las-Vegas-Lights-FC-Phoenix-Rising-March-19-2022-USL-Championship,2,1,2faf134e
73_2022,Regular Season,2022-03-19,19:00,Loyal,Sac Republic,'2-0,"3,900",Greg Dopka,Torero Stadium,https://fbref.com/en/matches/c27c14e0/San-Diego-Loyal-Sacramento-Republic-March-19-2022-USL-Championship,2,0,c27c14e0
73_2022,Regular Season,2022-03-19,19:00,Orange County,RGV Toros,'2-1,"5,061",Elijio Arreguin,Orange Country Great Park Championship S...,https://fbref.com/en/matches/7ec78f51/Orange-County-SC-RGV-FC-Toros-March-19-2022-USL-Championship,2,1,7ec78f51
