season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,notes,home_score,away_score,match_id
73_2018,Regular Season,2018-08-25,19:00,North Carolina,Charlotte Ind'ence,'6-2,"4,195",Daniel Gutierrez,WakeMed Soccer Park,https://fbref.com/en/matches/386147e6/North-Carolina-FC-Charlotte-Independence-August-25-2018-USL,,6,2,386147e6
73_2018,Regular Season,2018-08-25,19:00,Charleston,NY Red Bulls II,'4-4,"2,741",Matthew Franz,MUSC Health Stadium,https://fbref.com/en/matches/c27c0957/Charleston-Battery-New-York-Red-Bulls-II-August-25-2018-USL,,4,4,c27c0957
73_2018,Regular Season,2018-08-25,19:00,Richmond,Louisville City,'0-6,"5,869",Eric Tattersall,City Stadium,https://fbref.com/en/matches/396cf9ba/Richmond-Kickers-Louisville-City-August-25-2018-USL,,0,6,396cf9ba
73_2018,Regular Season,2018-08-25,19:00,Ottawa Fury,Penn FC,'0-2,"5,270",Pierre-Luc Lauziere,TD Place Stadium,https://fbref.com/en/matches/a7920870/Ottawa-Fury-Penn-FC-August-25-2018-USL,,0,2,a7920870
73_2018,Regular Season,2018-08-25,19:00,Atlanta United 2,Indy Eleven,'1-1,"3,008",Greg Dopka,Coolray Field,https://fbref.com/en/matches/0e4919ed/Atlanta-United-2-Indy-Eleven-August-25-2018-USL,,1,1,0e4919ed
73_2018,Regular Season,2018-08-25,19:30,TB Rowdies,FC Cincinnati,'1-2,"5,963",Kevin Broadley,Al Lang Stadium,https://fbref.com/en/matches/7c4b0e0b/Tampa-Bay-Rowdies-FC-Cincinnati-August-25-2018-USL,,1,2,7c4b0e0b
73_2018,Regular Season,2018-08-25,19:00,Orange County,RGV Toros,'0-2,"2,958",Elton Garcia,Orange Country Great Park Soccer Field,https://fbref.com/en/matches/8e12cbf2/Orange-County-SC-RGV-FC-Toros-August-25-2018-USL,,0,2,8e12cbf2
73_2018,Regular Season,2018-08-25,19:30,Reno 1868,Sac Republic,'1-2,"7,103",Elijio Arreguin,Aces Ballpark,https://fbref.com/en/matches/7478de97/Reno-1868-Sacramento-Republic-August-25-2018-USL,,1,2,7478de97
73_2018,Regular Season,2018-08-25,19:30,OKC Energy,Sounders 2,'3-0,"4,732",Luis Guardia,Taft Stadium,https://fbref.com/en/matches/fc2294ed/OKC-Energy-Seattle-Sounders-FC-2-August-25-2018-USL,,3,0,fc2294ed
73_2018,Regular Season,2018-08-25,19:30,San Antonio FC,Swope Park,'1-2,"6,896",Tim Ford,Toyota Field,https://fbref.com/en/matches/c1b48770/San-Antonio-FC-Swope-Park-Rangers-August-25-2018-USL,,1,2,c1b48770
73_2018,Regular Season,2018-08-25,19:30,Saint Louis FC,Tulsa,'3-2,"4,150",Jon Freemon,Toyota Stadium,https://fbref.com/en/matches/bd80b302/Saint-Louis-FC-Tulsa-Roughnecks-FC-August-25-2018-USL,,3,2,bd80b302
73_2018,Regular Season,2018-08-25,19:30,Nashville,Bethlehem,'1-2,"8,856",Leland Grant,First Tennessee Park,https://fbref.com/en/matches/da8ce77b/Nashville-SC-Bethlehem-Steel-FC-August-25-2018-USL,,1,2,da8ce77b
73_2018,Regular Season,2018-08-25,19:30,Phx Rising,CS Switchbacks,'4-0,"6,077",Sergii Demianchuk,Phoenix Rising Soccer Complex,https://fbref.com/en/matches/41c49505/Phoenix-Rising-Colorado-Springs-Switchbacks-August-25-2018-USL,,4,0,41c49505
73_2018,Regular Season,2018-08-25,20:00,Monarchs,Galaxy II,'4-0,"1,707",Jose Lara,Zions Bank Stadium,https://fbref.com/en/matches/2c793cd4/Real-Monarchs-LA-Galaxy-II-August-25-2018-USL,,4,0,2c793cd4
73_2018,Regular Season,2018-08-25,20:00,LV Lights FC,Fresno,'2-2,"5,779",Ismir Pekmic,Cashman Field,https://fbref.com/en/matches/935cddaf/Las-Vegas-Lights-FC-Fresno-FC-August-25-2018-USL,,2,2,935cddaf
73_2018,Regular Season,2018-08-28,19:00,Louisville City,Toronto FC II,'1-4,"6,248",Lukasz Szpala,Louisville Slugger Field,https://fbref.com/en/matches/2afbd1bb/Louisville-City-Toronto-FC-II-August-28-2018-USL,,1,4,2afbd1bb
73_2018,Regular Season,2018-08-29,19:00,Indy Eleven,Pittsburgh,'2-2,"8,077",Malik Badawi,Lucas Oil Stadium,https://fbref.com/en/matches/f17d163a/Indy-Eleven-Pittsburgh-Riverhounds-August-29-2018-USL,,2,2,f17d163a
73_2018,Regular Season,2018-08-28,19:30,Nashville,Richmond,'4-0,"8,651",Marcos de Oliveira,First Tennessee Park,https://fbref.com/en/matches/ce701ed9/Nashville-SC-Richmond-Kickers-August-28-2018-USL,,4,0,ce701ed9
73_2018,Regular Season,2018-08-28,19:30,Reno 1868,LV Lights FC,'2-1,"5,559",Elvis Osmanovic,Aces Ballpark,https://fbref.com/en/matches/3e2de664/Reno-1868-Las-Vegas-Lights-FC-August-28-2018-USL,,2,1,3e2de664
73_2018,Regular Season,2018-08-29,19:00,RGV Toros,San Antonio FC,'1-3,"3,958",Rubiel Vazquez,H-E-B Park,https://fbref.com/en/matches/a86e3626/RGV-FC-Toros-San-Antonio-FC-August-29-2018-USL,,1,3,a86e3626
73_2018,Regular Season,2018-08-29,19:00,CS Switchbacks,Monarchs,'1-0,"3,248",Joe Wykowski,Weidner Field,https://fbref.com/en/matches/cb96d993/Colorado-Springs-Switchbacks-Real-Monarchs-August-29-2018-USL,,1,0,cb96d993
73_2018,Regular Season,2018-08-29,19:00,Sounders 2,Saint Louis FC,'1-1,"3,051",Daniel Radford,Cheney Stadium,https://fbref.com/en/matches/a22997a5/Seattle-Sounders-FC-2-Saint-Louis-FC-August-29-2018-USL,,1,1,a22997a5
73_2018,Regular Season,2018-08-29,19:30,Swope Park,Tulsa,'2-1,458,Jonathan Bilinski,Children's Mercy Park,https://fbref.com/en/matches/a70732f5/Swope-Park-Rangers-Tulsa-Roughnecks-FC-August-29-2018-USL,,2,1,a70732f5
73_2018,Regular Season,2018-08-31,19:00,NY Red Bulls II,Ottawa Fury,'1-0,683,Daniel Gutierrez,Red Bull Arena,https://fbref.com/en/matches/6b596306/New-York-Red-Bulls-II-Ottawa-Fury-August-31-2018-USL,,1,0,6b596306
73_2018,Regular Season,2018-08-31,19:30,Louisville City,Charleston,'2-2,"6,971",Kevin Broadley,Louisville Slugger Field,https://fbref.com/en/matches/282af991/Louisville-City-Charleston-Battery-August-31-2018-USL,,2,2,282af991
73_2018,Regular Season,2018-09-01,19:00,Indy Eleven,Richmond,'1-1,"11,344",Victor Rivas,Lucas Oil Stadium,https://fbref.com/en/matches/8632e154/Indy-Eleven-Richmond-Kickers-September-1-2018-USL,,1,1,8632e154
73_2018,Regular Season,2018-09-01,19:00,North Carolina,TB Rowdies,'0-3,"4,102",Matthew Franz,WakeMed Soccer Park,https://fbref.com/en/matches/34e23eab/North-Carolina-FC-Tampa-Bay-Rowdies-September-1-2018-USL,,0,3,34e23eab
73_2018,Regular Season,2018-09-01,19:30,FC Cincinnati,Pittsburgh,'2-1,"25,735",Joe Dickerson,Nippert Stadium,https://fbref.com/en/matches/0cf1835b/FC-Cincinnati-Pittsburgh-Riverhounds-September-1-2018-USL,,2,1,0cf1835b
73_2018,Regular Season,2018-09-01,19:30,Charlotte Ind'ence,Nashville,'1-0,"1,317",Rosendo Mendoza,Sportsplex at Matthews,https://fbref.com/en/matches/e7d22ecd/Charlotte-Independence-Nashville-SC-September-1-2018-USL,,1,0,e7d22ecd
73_2018,Regular Season,2018-08-31,20:00,Toronto FC II,Atlanta United 2,'1-2,196,Pierre-Luc Lauziere,BMO Field,https://fbref.com/en/matches/07edaa72/Toronto-FC-II-Atlanta-United-2-August-31-2018-USL,,1,2,07edaa72
73_2018,Regular Season,2018-09-02,13:30,Sounders 2,Orange County,'1-1,"2,526",Alejandro Mariscal,Cheney Stadium,https://fbref.com/en/matches/5b236d27/Seattle-Sounders-FC-2-Orange-County-SC-September-2-2018-USL,,1,1,5b236d27
73_2018,Regular Season,2018-09-02,15:00,Bethlehem,Penn FC,'1-3,"2,643",Lorant Varga,Goodman Stadium,https://fbref.com/en/matches/30b26707/Bethlehem-Steel-FC-Penn-FC-September-2-2018-USL,,1,3,30b26707
73_2018,Regular Season,2018-09-02,16:00,Swope Park,OKC Energy,'1-0,993,Sergii Demianchuk,Shawnee Mission District Stadium,https://fbref.com/en/matches/4f9fc294/Swope-Park-Rangers-OKC-Energy-September-2-2018-USL,,1,0,4f9fc294
73_2018,Regular Season,2018-09-01,19:00,Timbers 2,Saint Louis FC,'1-0,"1,441",Michael Radchuk,Providence Park,https://fbref.com/en/matches/9161786a/Portland-Timbers-2-Saint-Louis-FC-September-1-2018-USL,,1,0,9161786a
73_2018,Regular Season,2018-09-01,19:00,Fresno,Reno 1868,'1-1,"3,579",Farhad Dadkho,Chukchansi Park,https://fbref.com/en/matches/25f5507f/Fresno-FC-Reno-1868-September-1-2018-USL,,1,1,25f5507f
73_2018,Regular Season,2018-09-01,19:30,Galaxy II,CS Switchbacks,'3-1,"1,683",Tim Ford,StubHub Center,https://fbref.com/en/matches/110cf9eb/LA-Galaxy-II-Colorado-Springs-Switchbacks-September-1-2018-USL,,3,1,110cf9eb
73_2018,Regular Season,2018-09-03,19:00,Monarchs,San Antonio FC,'1-2,"1,030",Marcos de Oliveira,Zions Bank Stadium,https://fbref.com/en/matches/f8f4df0a/Real-Monarchs-San-Antonio-FC-September-3-2018-USL,,1,2,f8f4df0a
73_2018,Regular Season,2018-09-05,19:00,Indy Eleven,NY Red Bulls II,'3-0,"8,703",Fotis Bazakos,Lucas Oil Stadium,https://fbref.com/en/matches/f4652bbb/Indy-Eleven-New-York-Red-Bulls-II-September-5-2018-USL,,3,0,f4652bbb
