season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2021,Regular Season,2021-04-24,19:30,Louisville City,Atlanta United 2,'2-0,"7,652",Lukasz Szpala,Lynn Family Stadium,https://fbref.com/en/matches/72295bd4/Louisville-City-Atlanta-United-2-April-24-2021-USL-Championship,2,0,72295bd4
73_2021,Regular Season,2021-04-24,19:30,OKC Energy,FC Tulsa,'1-3,"3,380",Ismir Pekmic,Taft Stadium,https://fbref.com/en/matches/9a37d346/OKC-Energy-FC-Tulsa-April-24-2021-USL-Championship,1,3,9a37d346
73_2021,Regular Season,2021-04-30,19:00,NY Red Bulls II,Hartford Athletic,'2-3,,Joshua Encarnacion,Red Bull Arena,https://fbref.com/en/matches/876ed3d1/New-York-Red-Bulls-II-Hartford-Athletic-April-30-2021-USL-Championship,2,3,876ed3d1
73_2021,Regular Season,2021-05-01,18:30,B'ham Legion,Indy Eleven,'0-1,,Greg Dopka,BBVA Compass Field,https://fbref.com/en/matches/1b1ee686/Birmingham-Legion-Indy-Eleven-May-1-2021-USL-Championship,0,1,1b1ee686
73_2021,Regular Season,2021-04-30,19:00,Phx Rising,Loyal,'4-1,,Jon Freemon,Casino Arizona Field,https://fbref.com/en/matches/073e0666/Phoenix-Rising-San-Diego-Loyal-April-30-2021-USL-Championship,4,1,073e0666
73_2021,Regular Season,2021-05-01,19:30,TB Rowdies,Charlotte Ind'ence,'3-0,"1,870",Tori Penso,Al Lang Stadium,https://fbref.com/en/matches/118456d5/Tampa-Bay-Rowdies-Charlotte-Independence-May-1-2021-USL-Championship,3,0,118456d5
73_2021,Regular Season,2021-04-30,19:30,Galaxy II,Sac Republic,'0-1,,Michael Radchuk,Dignity Health Sports Park,https://fbref.com/en/matches/3e4d9935/LA-Galaxy-II-Sacramento-Republic-April-30-2021-USL-Championship,0,1,3e4d9935
73_2021,Regular Season,2021-05-01,19:00,FC Tulsa,Sporting KC II,'2-0,"4,241",Elijio Arreguin,ONEOK Field,https://fbref.com/en/matches/eb921152/FC-Tulsa-Sporting-Kansas-City-II-May-1-2021-USL-Championship,2,0,eb921152
73_2021,Regular Season,2021-05-01,19:30,RGV Toros,New Mexico Utd,'1-0,"2,567",Elton Garcia,H-E-B Park,https://fbref.com/en/matches/69fb93b6/RGV-FC-Toros-New-Mexico-United-May-1-2021-USL-Championship,1,0,69fb93b6
73_2021,Regular Season,2021-05-01,19:30,San Antonio FC,CS Switchbacks,'3-0,"3,768",Matthew Thompson,Toyota Field,https://fbref.com/en/matches/2cdd3a9f/San-Antonio-FC-Colorado-Springs-Switchbacks-May-1-2021-USL-Championship,3,0,2cdd3a9f
73_2021,Regular Season,2021-05-01,19:30,OKC Energy,Atlanta United 2,'0-1,"2,299",Brandon Stevis,Taft Stadium,https://fbref.com/en/matches/8a9d0c4e/OKC-Energy-Atlanta-United-2-May-1-2021-USL-Championship,0,1,8a9d0c4e
73_2021,Regular Season,2021-05-02,19:30,Miami FC,Loudoun United,'2-1,,Natalie Simon,Riccardo Silva Stadium,https://fbref.com/en/matches/045b9b61/Miami-FC-Loudoun-United-May-2-2021-USL-Championship,2,1,045b9b61
73_2021,Regular Season,2021-05-05,19:30,Galaxy II,LV Lights FC,'5-0,,Mark Allatin,Dignity Health Sports Park,https://fbref.com/en/matches/0a7893df/LA-Galaxy-II-Las-Vegas-Lights-FC-May-5-2021-USL-Championship,5,0,0a7893df
