season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,notes,home_score,away_score,match_id
73_2019,Regular Season,2019-03-09,13:00,NY Red Bulls II,Swope Park,'3-1,727,John Griggs,MSU Soccer Park at Pittser Field,https://fbref.com/en/matches/8fa4fa98/New-York-Red-Bulls-II-Swope-Park-Rangers-March-9-2019-USL-Championship,,3,1,8fa4fa98
73_2019,Regular Season,2019-03-09,13:00,Saint Louis FC,Indy Eleven,'2-1,"4,561",Rosendo Mendoza,Toyota Stadium,https://fbref.com/en/matches/4deb2711/Saint-Louis-FC-Indy-Eleven-March-9-2019-USL-Championship,,2,1,4deb2711
73_2019,Regular Season,2019-03-09,14:00,Reno 1868,Orange County,'2-2,"3,024",Jon Freemon,Aces Ballpark,https://fbref.com/en/matches/fbd2ea6a/Reno-1868-Orange-County-SC-March-9-2019-USL-Championship,,2,2,fbd2ea6a
73_2019,Regular Season,2019-03-09,16:00,North Carolina,Louisville City,'4-1,"3,213",Matthew Franz,Sahlen's Stadium at WakeMed Soccer Park,https://fbref.com/en/matches/5442a20b/North-Carolina-FC-Louisville-City-March-9-2019-USL-Championship,,4,1,5442a20b
73_2019,Regular Season,2019-03-08,19:00,Tacoma,RGV Toros,'1-0,"3,432",Alejandro Mariscal,Cheney Stadium,https://fbref.com/en/matches/7c79a8cf/Tacoma-Defiance-RGV-FC-Toros-March-8-2019-USL-Championship,,1,0,7c79a8cf
73_2019,Regular Season,2019-03-10,16:00,B'ham Legion,Bethlehem,'0-2,"5,807",Amin Hadzic,BBVA Compass Stadium,https://fbref.com/en/matches/06f185dd/Birmingham-Legion-Bethlehem-Steel-FC-March-10-2019-USL-Championship,,0,2,06f185dd
73_2019,Regular Season,2019-03-09,18:00,Memphis 901,TB Rowdies,'0-1,"8,062",Michael Lavergne,AutoZone Park,https://fbref.com/en/matches/b6d2a2eb/Memphis-901-Tampa-Bay-Rowdies-March-9-2019-USL-Championship,,0,1,b6d2a2eb
73_2019,Regular Season,2019-03-09,19:00,Galaxy II,CS Switchbacks,'1-4,689,Michael Radchuk,StubHub Center Track & Field Stadium,https://fbref.com/en/matches/e4f6f783/LA-Galaxy-II-Colorado-Springs-Switchbacks-March-9-2019-USL-Championship,,1,4,e4f6f783
73_2019,Regular Season,2019-03-09,19:00,Tulsa,Timbers 2,'1-1,"3,122",Jose Lara,ONEOK Field,https://fbref.com/en/matches/7892dce7/Tulsa-Roughnecks-FC-Portland-Timbers-2-March-9-2019-USL-Championship,,1,1,7892dce7
73_2019,Regular Season,2019-03-09,19:00,Nashville,Loudoun United,'2-0,"5,356",Thomas Snyder,First Tennessee Park,https://fbref.com/en/matches/8cdd8aa8/Nashville-SC-Loudoun-United-March-9-2019-USL-Championship,,2,0,8cdd8aa8
73_2019,Regular Season,2019-03-09,19:30,Atlanta United 2,Hartford Athletic,'2-0,"2,037",Gustavo Solorio,Fifth Third Bank Stadium,https://fbref.com/en/matches/37e055a6/Atlanta-United-2-Hartford-Athletic-March-9-2019-USL-Championship,,2,0,37e055a6
73_2019,Regular Season,2019-03-09,19:30,New Mexico Utd,Fresno,'1-1,"12,896",Mark Allatin,Isotopes Park,https://fbref.com/en/matches/d19e5cc0/New-Mexico-United-Fresno-FC-March-9-2019-USL-Championship,,1,1,d19e5cc0
73_2019,Regular Season,2019-03-09,19:30,LV Lights FC,Bold,'0-0,"8,017",Tim Ford,Cashman Field,https://fbref.com/en/matches/2c327abf/Las-Vegas-Lights-FC-Austin-Bold-March-9-2019-USL-Championship,,0,0,2c327abf
73_2019,Regular Season,2019-03-09,19:30,Charleston,Ottawa Fury,'1-1,"3,915",Sergii Demianchuk,MUSC Health Stadium,https://fbref.com/en/matches/4424972a/Charleston-Battery-Ottawa-Fury-March-9-2019-USL-Championship,,1,1,4424972a
73_2019,Regular Season,2019-03-09,19:30,San Antonio FC,Phx Rising,'3-3,"8,058",Malik Badawi,Toyota Field,https://fbref.com/en/matches/4d085663/San-Antonio-FC-Phoenix-Rising-March-9-2019-USL-Championship,,3,3,4d085663
73_2019,Regular Season,2019-03-09,19:30,Sac Republic,Monarchs,'1-1,"10,086",Farhad Dadkho,Papa Murphy’s Park,https://fbref.com/en/matches/ede58376/Sacramento-Republic-Real-Monarchs-March-9-2019-USL-Championship,,1,1,ede58376
73_2019,Regular Season,2019-03-09,20:30,El Paso,OKC Energy,'1-3,"12,896",Matthew Thompson,Southwest University Park,https://fbref.com/en/matches/81769797/El-Paso-Locomotive-OKC-Energy-March-9-2019-USL-Championship,,1,3,81769797
73_2019,Regular Season,2019-03-15,19:00,Charlotte Ind'ence,Indy Eleven,'2-3,"1,649",Gustavo Solorio,Sportsplex at Matthews,https://fbref.com/en/matches/88872030/Charlotte-Independence-Indy-Eleven-March-15-2019-USL-Championship,,2,3,88872030
73_2019,Regular Season,2019-03-15,19:30,Atlanta United 2,Louisville City,'0-1,"1,571",Elton Garcia,Fifth Third Bank Stadium,https://fbref.com/en/matches/1b509ea4/Atlanta-United-2-Louisville-City-March-15-2019-USL-Championship,,0,1,1b509ea4
73_2019,Regular Season,2019-03-16,13:00,Monarchs,El Paso,'0-0,"1,320",Lukasz Szpala,Zions Bank Stadium,https://fbref.com/en/matches/cad09975/Real-Monarchs-El-Paso-Locomotive-March-16-2019-USL-Championship,,0,0,cad09975
73_2019,Regular Season,2019-03-16,14:00,Reno 1868,Bold,'2-1,"2,919",Farhad Dadkho,Aces Ballpark,https://fbref.com/en/matches/325cf709/Reno-1868-Austin-Bold-March-16-2019-USL-Championship,,2,1,325cf709
73_2019,Regular Season,2019-03-16,19:30,TB Rowdies,Pittsburgh,'2-0,"7,234",Elvis Osmanovic,Al Lang Stadium,https://fbref.com/en/matches/51385fa2/Tampa-Bay-Rowdies-Pittsburgh-Riverhounds-March-16-2019-USL-Championship,,2,0,51385fa2
73_2019,Regular Season,2019-03-16,19:30,Bethlehem,North Carolina,'0-1,737,Lorant Varga,Talen Energy Stadium,https://fbref.com/en/matches/05548008/Bethlehem-Steel-FC-North-Carolina-FC-March-16-2019-USL-Championship,,0,1,05548008
73_2019,Regular Season,2019-03-16,19:30,Charleston,Hartford Athletic,'2-1,"2,044",Rosendo Mendoza,MUSC Health Stadium,https://fbref.com/en/matches/2d6a9e14/Charleston-Battery-Hartford-Athletic-March-16-2019-USL-Championship,,2,1,2d6a9e14
73_2019,Regular Season,2019-03-16,18:00,CS Switchbacks,Sac Republic,'0-1,"2,862",Guido Gonzalez Jr.,Weidner Field,https://fbref.com/en/matches/676a029d/Colorado-Springs-Switchbacks-Sacramento-Republic-March-16-2019-USL-Championship,,0,1,676a029d
73_2019,Regular Season,2019-03-16,19:00,B'ham Legion,Ottawa Fury,'0-1,"4,234",Thomas Snyder,BBVA Compass Field,https://fbref.com/en/matches/dedfcbf5/Birmingham-Legion-Ottawa-Fury-March-16-2019-USL-Championship,,0,1,dedfcbf5
73_2019,Regular Season,2019-03-16,19:00,Nashville,Saint Louis FC,'0-1,"6,070",Eric Tattersall,First Tennessee Park,https://fbref.com/en/matches/ae53095e/Nashville-SC-Saint-Louis-FC-March-16-2019-USL-Championship,,0,1,ae53095e
