season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2023,Regular Season,2023-03-11,16:00,Memphis 901,Loudoun United,'1-3,"4,001",Eric Tattersall,AutoZone Park,https://fbref.com/en/matches/9586d5ad/Memphis-901-Loudoun-United-March-11-2023-USL-Championship,1,3,9586d5ad
73_2023,Regular Season,2023-03-11,17:00,Miami FC,FC Tulsa,'1-1,"2,092",John Griggs,Riccardo Silva Stadium,https://fbref.com/en/matches/081d791b/Miami-FC-FC-Tulsa-March-11-2023-USL-Championship,1,1,081d791b
73_2023,Regular Season,2023-03-11,18:30,B'ham Legion,Pittsburgh,'1-1,"6,722",Sergii Demianchuk,Protective Stadium,https://fbref.com/en/matches/d5582867/Birmingham-Legion-Pittsburgh-Riverhounds-March-11-2023-USL-Championship,1,1,d5582867
73_2023,Regular Season,2023-03-11,19:00,Monterey Bay,Hartford Athletic,'5-3,"3,615",Elijio Arreguin,Cardinale Stadium,https://fbref.com/en/matches/1b630aad/Monterey-Bay-Hartford-Athletic-March-11-2023-USL-Championship,5,3,1b630aad
73_2023,Regular Season,2023-03-11,19:00,Orange County,Louisville City,'1-3,"4,267",Katja Koroleva,Orange Country Great Park Championship S...,https://fbref.com/en/matches/a9cf0acd/Orange-County-SC-Louisville-City-March-11-2023-USL-Championship,1,3,a9cf0acd
73_2023,Regular Season,2023-03-11,19:00,Loyal,Detroit City,'1-0,"5,671",Ricardo Fierro,Torero Stadium,https://fbref.com/en/matches/aa37f2d6/San-Diego-Loyal-Detroit-City-March-11-2023-USL-Championship,1,0,aa37f2d6
73_2023,Regular Season,2023-03-11,19:30,San Antonio FC,Roots,'3-1,"8,106",Matthew Thompson,Toyota Field,https://fbref.com/en/matches/d226283b/San-Antonio-FC-Oakland-Roots-March-11-2023-USL-Championship,3,1,d226283b
73_2023,Regular Season,2023-03-11,19:30,Charleston,Phx Rising,'1-1,"3,513",Thomas Snyder,Patriots Point Soccer Complex,https://fbref.com/en/matches/c88187c1/Charleston-Battery-Phoenix-Rising-March-11-2023-USL-Championship,1,1,c88187c1
73_2023,Regular Season,2023-03-11,19:30,TB Rowdies,Indy Eleven,'1-1,"6,893",Elvis Osmanovic,Al Lang Stadium,https://fbref.com/en/matches/bde8dc60/Tampa-Bay-Rowdies-Indy-Eleven-March-11-2023-USL-Championship,1,1,bde8dc60
73_2023,Regular Season,2023-03-11,20:30,El Paso,Sac Republic,'0-1,"7,136",Elton Garcia,Southwest University Park,https://fbref.com/en/matches/3254165d/El-Paso-Locomotive-Sacramento-Republic-March-11-2023-USL-Championship,0,1,3254165d
73_2023,Regular Season,2023-03-12,19:00,RGV Toros,LV Lights FC,'1-1,"6,329",Mathew Corrigan,H-E-B Park,https://fbref.com/en/matches/bf74bc12/RGV-FC-Toros-Las-Vegas-Lights-FC-March-12-2023-USL-Championship,1,1,bf74bc12
73_2023,Regular Season,2023-03-15,20:00,El Paso,CS Switchbacks,'1-2,"5,516",Matthew Thompson,Southwest University Park,https://fbref.com/en/matches/35ac1cfa/El-Paso-Locomotive-Colorado-Springs-Switchbacks-March-15-2023-USL-Championship,1,2,35ac1cfa
73_2023,Regular Season,2023-03-18,16:00,Memphis 901,Pittsburgh,'1-3,"3,587",Serhiy Boyko,AutoZone Park,https://fbref.com/en/matches/ef3d7232/Memphis-901-Pittsburgh-Riverhounds-March-18-2023-USL-Championship,1,3,ef3d7232
73_2023,Regular Season,2023-03-18,19:00,Miami FC,New Mexico Utd,'0-1,"1,445",Thomas Snyder,Riccardo Silva Stadium,https://fbref.com/en/matches/3da73552/Miami-FC-New-Mexico-United-March-18-2023-USL-Championship,0,1,3da73552
73_2023,Regular Season,2023-03-17,19:00,B'ham Legion,FC Tulsa,'3-2,"4,077",Elvis Osmanovic,Protective Stadium,https://fbref.com/en/matches/4d23edb1/Birmingham-Legion-FC-Tulsa-March-17-2023-USL-Championship,3,2,4d23edb1
73_2023,Regular Season,2023-03-19,15:00,Loyal,Phx Rising,'3-0,"5,114",Mathew Corrigan,Torero Stadium,https://fbref.com/en/matches/8533d7a4/San-Diego-Loyal-Phoenix-Rising-March-19-2023-USL-Championship,3,0,8533d7a4
73_2023,Regular Season,2023-03-19,16:00,Loudoun United,San Antonio FC,'1-1,"3,411",Joshua Encarnacion,Segra Field,https://fbref.com/en/matches/0fe80993/Loudoun-United-San-Antonio-FC-March-19-2023-USL-Championship,1,1,0fe80993
73_2023,Regular Season,2023-03-18,18:00,CS Switchbacks,Hartford Athletic,'1-1,"6,248",Calin Radosav,Weidner Field,https://fbref.com/en/matches/dca616f7/Colorado-Springs-Switchbacks-Hartford-Athletic-March-18-2023-USL-Championship,1,1,dca616f7
73_2023,Regular Season,2023-03-18,19:00,Orange County,TB Rowdies,'1-1,"4,278",Brandon Stevis,Orange Country Great Park Championship S...,https://fbref.com/en/matches/fdf7ae2f/Orange-County-SC-Tampa-Bay-Rowdies-March-18-2023-USL-Championship,1,1,fdf7ae2f
73_2023,Regular Season,2023-03-18,19:00,Sac Republic,Charleston,'1-1,"11,569",Brad Jensen,Heart Health Park,https://fbref.com/en/matches/71688136/Sacramento-Republic-Charleston-Battery-March-18-2023-USL-Championship,1,1,71688136
73_2023,Regular Season,2023-03-18,19:00,Monterey Bay,Louisville City,'0-1,"3,019",Elton Garcia,Cardinale Stadium,https://fbref.com/en/matches/28d64740/Monterey-Bay-Louisville-City-March-18-2023-USL-Championship,0,1,28d64740
73_2023,Regular Season,2023-03-18,20:30,El Paso,Detroit City,'1-3,"5,014",Greg Dopka,Southwest University Park,https://fbref.com/en/matches/c649177e/El-Paso-Locomotive-Detroit-City-March-18-2023-USL-Championship,1,3,c649177e
73_2023,Regular Season,2023-03-19,19:00,RGV Toros,Roots,'1-1,"3,460",Malik Badawi,H-E-B Park,https://fbref.com/en/matches/0003ad97/RGV-FC-Toros-Oakland-Roots-March-19-2023-USL-Championship,1,1,0003ad97
73_2023,Regular Season,2023-03-24,19:00,Pittsburgh,Miami FC,'1-1,"2,879",Gerald Flores,Highmark Stadium,https://fbref.com/en/matches/ebda0bc1/Pittsburgh-Riverhounds-Miami-FC-March-24-2023-USL-Championship,1,1,ebda0bc1
73_2023,Regular Season,2023-03-25,14:00,Hartford Athletic,B'ham Legion,'0-1,"3,106",DeShun Beard,Trinity Health Stadium,https://fbref.com/en/matches/2649c24e/Hartford-Athletic-Birmingham-Legion-March-25-2023-USL-Championship,0,1,2649c24e
73_2023,Regular Season,2023-03-25,15:00,Louisville City,El Paso,'0-3,"10,881",Elvis Osmanovic,Lynn Family Stadium,https://fbref.com/en/matches/cefdae7c/Louisville-City-El-Paso-Locomotive-March-25-2023-USL-Championship,0,3,cefdae7c
73_2023,Regular Season,2023-03-25,16:00,Detroit City,Indy Eleven,'0-1,"6,182",Jervis Atagana,Keyworth Stadium,https://fbref.com/en/matches/5b4cc4ec/Detroit-City-Indy-Eleven-March-25-2023-USL-Championship,0,1,5b4cc4ec
73_2023,Regular Season,2023-03-24,19:00,RGV Toros,Monterey Bay,'1-1,"5,014",Ricardo Fierro,H-E-B Park,https://fbref.com/en/matches/5d3d258c/RGV-FC-Toros-Monterey-Bay-March-24-2023-USL-Championship,1,1,5d3d258c
73_2023,Regular Season,2023-03-25,19:30,Charleston,TB Rowdies,'3-0,"3,138",Sergii Demianchuk,Patriots Point Soccer Complex,https://fbref.com/en/matches/1a4ef1aa/Charleston-Battery-Tampa-Bay-Rowdies-March-25-2023-USL-Championship,3,0,1a4ef1aa
73_2023,Regular Season,2023-03-25,19:00,Orange County,LV Lights FC,'2-2,"3,959",Alexis Da Silva,Orange Country Great Park Championship S...,https://fbref.com/en/matches/3e1b75c1/Orange-County-SC-Las-Vegas-Lights-FC-March-25-2023-USL-Championship,2,2,3e1b75c1
73_2023,Regular Season,2023-03-25,19:00,Sac Republic,Loyal,'1-0,"9,088",Malik Badawi,Heart Health Park,https://fbref.com/en/matches/37072f33/Sacramento-Republic-San-Diego-Loyal-March-25-2023-USL-Championship,1,0,37072f33
73_2023,Regular Season,2023-03-25,19:30,San Antonio FC,CS Switchbacks,'1-0,"7,938",Brandon Stevis,Toyota Field,https://fbref.com/en/matches/6d0a5464/San-Antonio-FC-Colorado-Springs-Switchbacks-March-25-2023-USL-Championship,1,0,6d0a5464
73_2023,Regular Season,2023-03-25,19:30,FC Tulsa,Loudoun United,'3-0,"4,565",Mathew Corrigan,ONEOK Field,https://fbref.com/en/matches/c967f2fb/FC-Tulsa-Loudoun-United-March-25-2023-USL-Championship,3,0,c967f2fb
73_2023,Regular Season,2023-03-28,19:00,FC Tulsa,Pittsburgh,'0-0,"2,177",Melvin Rivas,ONEOK Field,https://fbref.com/en/matches/36b67b58/FC-Tulsa-Pittsburgh-Riverhounds-March-28-2023-USL-Championship,0,0,36b67b58
73_2023,Regular Season,2023-04-01,14:00,Hartford Athletic,Orange County,'1-1,"3,030",Eric Tattersall,Trinity Health Stadium,https://fbref.com/en/matches/57298c0f/Hartford-Athletic-Orange-County-SC-April-1-2023-USL-Championship,1,1,57298c0f
73_2023,Regular Season,2023-04-01,16:00,Loudoun United,CS Switchbacks,'0-1,"2,379",Jeremy Scheer,Segra Field,https://fbref.com/en/matches/e7536140/Loudoun-United-Colorado-Springs-Switchbacks-April-1-2023-USL-Championship,0,1,e7536140
73_2023,Regular Season,2023-04-01,19:00,Miami FC,Memphis 901,'1-1,"1,175",Elvis Osmanovic,Riccardo Silva Stadium,https://fbref.com/en/matches/75f8ee57/Miami-FC-Memphis-901-April-1-2023-USL-Championship,1,1,75f8ee57
73_2023,Regular Season,2023-04-01,19:00,Indy Eleven,LV Lights FC,'0-0,"9,091",Calin Radosav,Michael A. Carroll Stadium,https://fbref.com/en/matches/a97c25da/Indy-Eleven-Las-Vegas-Lights-FC-April-1-2023-USL-Championship,0,0,a97c25da
73_2023,Regular Season,2023-04-01,19:00,Detroit City,RGV Toros,'0-1,"4,293",Adam Kilpatrick,Keyworth Stadium,https://fbref.com/en/matches/28038fbb/Detroit-City-RGV-FC-Toros-April-1-2023-USL-Championship,0,1,28038fbb
