team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Indy Eleven,https://fbref.com/en/players/8bb1c744/Augustine-Williams,8bb1c744,3814aa2a,Augustine Williams,SLE,FW,27-092,53,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/d961761c/Romario-Williams,d961761c,3814aa2a,Romario Williams,JAM,FW,30-080,37,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/3e7ebb9a/Douglas-Martinez,3e7ebb9a,3814aa2a,Douglas Martinez,HON,FW,27-151,90,1,0,0,0,2,1,1,0,4,3,0,3,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/a851a29d/Maalique-Foster,a851a29d,3814aa2a,Maalique Foster,JAM,LM,27-364,90,0,0,0,0,1,0,1,0,1,2,0,4,0,1,0,0,0,LM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/68cd160e/Jack-Blake,68cd160e,3814aa2a,Jack Blake,SCO,CM,30-042,90,0,0,0,0,2,1,0,0,0,1,0,5,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/73366dc8/Aodhan-Quinn,73366dc8,3814aa2a,Aodhan Quinn,USA,CM,32-226,90,1,1,0,0,3,2,0,0,0,4,0,4,0,3,0,0,0,CM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/1861e73a/Brem-Soumaoro,1861e73a,3814aa2a,Brem Soumaoro,LBR,RM,28-087,54,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,RM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/28dd441c/Hayden-White,28dd441c,3814aa2a,Hayden White,ENG,"DF,MF",29-202,36,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/61cd3bcf/Aedan-Stanley,61cd3bcf,3814aa2a,Aedan Stanley,USA,LB,24-326,74,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,0,LB,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/f4462455/Adrian-Diz-Pe,f4462455,3814aa2a,Adrian Diz Pe,CUB,DF,30-244,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/e176052e/James-Musa,e176052e,3814aa2a,James Musa,NZL,CB,32-216,90,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/e2d3bec6/Benjamin-Ofeimu,e2d3bec6,3814aa2a,Benjamin Ofeimu,USA,CB,24-034,90,0,0,0,0,0,0,1,0,3,0,0,2,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/27b1ae1b/Logan-Neidlinger,27b1ae1b,3814aa2a,Logan Neidlinger,USA,RB,19-058,74,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,RB,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/5804f03b/Elliot-Collier,5804f03b,3814aa2a,Elliot Collier,NZL,"FW,MF",29-255,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/92823044/Hunter-Sulte,92823044,3814aa2a,Hunter Sulte,USA,GK,22-192,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,6.0,3.0,4.0,66.7
Rhode Island FC,https://fbref.com/en/players/5be1df64/Noah-Fuson,5be1df64,3814aa2a,Noah Fuson,USA,FW,24-308,90,0,0,0,0,2,0,0,0,3,5,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Rhode Island FC,https://fbref.com/en/players/d04dba18/JJ-Williams,d04dba18,3814aa2a,JJ Williams,USA,FW,26-304,61,3,0,1,1,6,4,0,0,5,2,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Rhode Island FC,https://fbref.com/en/players/655352d4/Albert-Dikwa,655352d4,3814aa2a,Albert Dikwa,CMR,FW,26-306,29,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
