"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"New Mexico Utd","https://fbref.com/en/players/9dea5bda/Chris-Wehan","9dea5bda","b378397c","Chris Wehan","Starter","USA","FW","27-250","90","0","1","0","0","1","0","1","0","0","0","0","3","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/3bd84c13/Sergio-Rivas","3bd84c13","b378397c","Sergio Rivas","Starter","MEX","FW","24-003","62","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/5af02393/Isidro-Martinez","5af02393","b378397c","Isidro Martinez","Sub","USA","MF","24-205","28","0","0","0","0","0","0","0","0","0","1","0","10","2","0","0","0","0","MF",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/2d558aef/Devon-Sandoval","2d558aef","b378397c","Devon Sandoval","Starter","USA","FW","30-112","90","1","0","0","0","1","1","1","0","2","2","0","1","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/311a4c0b/Josh-Suggs","311a4c0b","b378397c","Josh Suggs","Starter","USA","LM","32-163","90","0","0","0","0","0","0","0","0","1","1","0","7","2","0","0","0","0","LM",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/6571c260/Juan-Guzman","6571c260","b378397c","Juan Guzman","Starter","USA","CM","33-036","66","0","0","0","0","3","0","0","0","3","2","0","0","2","1","0","0","0","CM",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/2b7bf9a6/Andrew-Tinari","2b7bf9a6","b378397c","Andrew Tinari","Sub","USA","MF","26-024","24","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/3b6adae8/Saalih-Muhammad","3b6adae8","b378397c","Saalih Muhammad","Starter","USA","CM","26-042","90","0","0","0","0","0","0","1","0","2","0","0","0","1","1","0","0","0","CM",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/51ac90d7/Daniel-Bruce","51ac90d7","b378397c","Daniel Bruce","Starter","ENG","RM","25-146","80","0","0","0","0","2","2","0","0","1","0","0","2","0","0","0","0","0","RM",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/33e9bae1/Cristian-Nava","33e9bae1","b378397c","Cristian Nava","Sub","USA","FW","18-034","10","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/b7d8da4a/Austin-Yearwood","b7d8da4a","b378397c","Austin Yearwood","Starter","USA","CB","27-055","67","0","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","CB",0.0,0.0,0.0,0.0
"New Mexico Utd","https://fbref.com/en/players/af01dc5a/David-Najem","af01dc5a","b378397c","David Najem","Sub","AFG","DF,MF","29-133","23","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","DF",0.0,0.0,0.0,0.0
