"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Indy Eleven","https://fbref.com/en/players/f788b133/Christian-Novoa","f788b133","b573f70f","Christian Novoa","Starter","VEN","FW","28-088","82","1","0","0","0","2","1","0","0","2","1","1","1","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/7f59ddb1/Gabriel-Rodrigues","7f59ddb1","b573f70f","Gabriel Rodrigues","Sub","BRA","FW","23-232","8","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/0ff79542/Dane-Kelly","0ff79542","b573f70f","Dane Kelly","Starter","JAM","FW","28-238","73","0","1","0","0","4","1","0","0","1","1","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/3a7bec1b/Tyler-Pasher","3a7bec1b","b573f70f","Tyler Pasher","Sub","CAN","DF,FW","25-161","17","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/e06380ca/Ilija-Ilic","e06380ca","b573f70f","Ilija Ilic","Starter","SRB","AM","28-162","69","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","AM",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/beb2cbaa/Nicolas-Perea","beb2cbaa","b573f70f","Nicolas Perea","Sub","USA","MF","27-065","21","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","MF",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/e94dfdc6/Ayoze-Garcia","e94dfdc6","b573f70f","Ayoze Garcia","Starter","ESP","DM","33-317","90","0","1","0","0","1","0","0","0","1","0","0","4","1","2","0","0","0","DM",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/3c850ce0/Tyler-Gibson","3c850ce0","b573f70f","Tyler Gibson","Starter","USA","DM","28-266","90","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","DM",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/3b1643d5/Kenney-Walker","3b1643d5","b573f70f","Kenney Walker","Starter","USA","DM","30-286","90","0","0","0","0","1","0","0","0","2","0","0","1","0","4","0","0","0","DM",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/87744c26/Drew-Conner","87744c26","b573f70f","Drew Conner","Starter","USA","DM","25-229","90","0","0","0","0","0","0","0","0","1","1","1","4","1","3","0","0","0","DM",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/fb5dbdc0/Neveal-Hackshaw","fb5dbdc0","b573f70f","Neveal Hackshaw","Starter","TRI","CB","24-014","90","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
