team_name,player_url,player_id,match_id,player,lineup_status,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
B'ham Legion,https://fbref.com/en/players/d961761c/Romario-Williams,d961761c,0c4e3680,Romario Williams,Starter,JAM,FW,31-208,86,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/de7a0fe6/Serge-Ngoma,de7a0fe6,0c4e3680,Serge Ngoma,Sub,USA,MF,20-245,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/5f27940c/Gevork-Diarbian,5f27940c,0c4e3680,Gevork Diarbian,Starter,USA,AM,24-089,90,0,0,0,0,5,1,0,0,2,7,0,3,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/3a7bec1b/Tyler-Pasher,3a7bec1b,0c4e3680,Tyler Pasher,Starter,CAN,AM,31-318,90,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/5f279983/Kadeem-Cole,5f279983,0c4e3680,Kadeem Cole,Starter,CRC,AM,26-303,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/df855e4b/Samuel-Shashoua,df855e4b,0c4e3680,Samuel Shashoua,Starter,ENG,DM,26-302,90,0,0,0,0,5,1,0,0,1,3,0,2,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/840753cc/Seth-Antwi,840753cc,0c4e3680,Seth Antwi,Starter,GHA,DM,26-122,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,DM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/3964401f/Dawson-McCartney,3964401f,0c4e3680,Dawson McCartney,Starter,USA,LB,27-147,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,LB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/ca9e1a50/Leonard-Duru,ca9e1a50,0c4e3680,Leonard Duru,Sub,ENG,DF,21-058,7,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/aaa630ad/Ramiz-Hamouda,aaa630ad,0c4e3680,Ramiz Hamouda,Starter,USA,CB,17-289,90,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/ff98d5ca/Phanuel-Kavita,ff98d5ca,0c4e3680,Phanuel Kavita,Starter,RWA,CB,33-002,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/d12f400d/Nico-Brown,d12f400d,0c4e3680,Nico Brown,Starter,JAM,RB,27-212,69,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/e48f986b/Sam-McIllhatton,e48f986b,0c4e3680,Sam McIllhatton,Sub,AUS,MF,27-255,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/002d3444/Jassem-Koleilat,002d3444,0c4e3680,Jassem Koleilat,Starter,CZE,GK,26-224,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,2.0,0.0,2.0,100.0
Hartford Athletic,https://fbref.com/en/players/8bb1c744/Augustine-Williams,8bb1c744,0c4e3680,Augustine Williams,Starter,SLE,FW,28-220,90,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Hartford Athletic,https://fbref.com/en/players/b02d3196/Adewale-Obalola,b02d3196,0c4e3680,Adewale Obalola,Starter,NGA,FW,21-096,56,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
