"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Swope Park","https://fbref.com/en/players/dd4ddd03/Lebogang-Moloto","dd4ddd03","db020a16","Lebogang Moloto","Starter","RSA","FW","27-031","90","0","0","0","0","2","1","0","0","2","0","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/6fcddf5f/Daniel-Salloi","6fcddf5f","db020a16","Daniel Salloi","Starter","HUN","FW","20-337","59","0","0","0","0","4","1","0","0","1","0","1","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/3f082234/Diego-Rubio","3f082234","db020a16","Diego Rubio","Sub","CHI","FW,MF","24-037","31","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/c9f1ab31/Nansel-Selbol","c9f1ab31","db020a16","Nansel Selbol","Starter","NGA","FW","20-021","62","0","0","0","0","3","0","0","0","0","0","0","2","2","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/a25e9c54/Kharlton-Belmar","a25e9c54","db020a16","Kharlton Belmar","Sub","GRN","FW,MF","24-202","28","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/7a34ab4c/Christian-Duke","7a34ab4c","db020a16","Christian Duke","Starter","USA","CM","26-016","90","1","0","0","0","1","1","0","0","1","2","0","0","2","2","0","0","0","CM",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/30a50e79/Kevin-Oliveira","30a50e79","db020a16","Kevin Oliveira","Starter","CPV","CM","21-013","85","0","1","0","0","2","0","0","0","1","2","1","6","2","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/31def927/Oumar-Ballo","31def927","db020a16","Oumar Ballo","Sub","MLI","DF","26-080","5","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","DF",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/e176052e/James-Musa","e176052e","db020a16","James Musa","Starter","NZL","CM","25-081","90","0","0","0","0","1","0","1","0","2","1","0","0","1","4","0","0","0","CM",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/3a7bec1b/Tyler-Pasher","3a7bec1b","db020a16","Tyler Pasher","Starter","CAN","LB","23-055","90","0","0","0","0","3","2","0","0","0","1","0","1","0","2","0","0","0","LB",0.0,0.0,0.0,0.0
"Swope Park","https://fbref.com/en/players/7a378afa/Liam-Doyle","7a378afa","db020a16","Liam Doyle","Starter","IOM","CB","24-355","90","1","0","0","0","2","2","0","0","0","1","0","0","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
