"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Detroit City","https://fbref.com/en/players/8e75ce44/Yazeed-Matthews","8e75ce44","db43438e","Yazeed Matthews","Starter","RSA","FW","28-103","75","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/cbfb6ca5/Victor-Bezerra","cbfb6ca5","db43438e","Victor Bezerra","Sub","USA","FW","24-180","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/836c317b/Elvis-Amoh","836c317b","db43438e","Elvis Amoh","Starter","GHA","FW","32-183","63","0","0","0","0","1","1","0","0","1","1","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/2390ab6e/Ben-Morris","2390ab6e","db43438e","Ben Morris","Sub","ENG","FW","25-028","27","1","0","0","0","2","1","0","0","1","1","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/4767bcf0/Daniel-Espeleta","4767bcf0","db43438e","Daniel Espeleta","Starter","CRC","AM","26-120","63","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/8c4614a8/Jeciel-Cedeno","8c4614a8","db43438e","Jeciel Cedeno","Sub","ECU","FW,MF","24-122","27","0","0","0","0","1","0","0","0","0","0","0","4","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/b338a233/Brett-Levis","b338a233","db43438e","Brett Levis","Starter","CAN","DM","31-127","63","0","0","0","0","1","0","0","0","2","1","0","5","3","1","0","0","0","DM",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/c168f022/Alex-Villanueva","c168f022","db43438e","Alex Villanueva","Sub","USA","DF,MF","22-025","27","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/52ffb493/James-Murphy","52ffb493","db43438e","James Murphy","Starter","USA","DM","26-321","45","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","DM",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/1eaf599d/Ryan-Williams","1eaf599d","db43438e","Ryan Williams","Sub","ENG","MF","33-117","45","0","0","0","0","0","0","0","0","1","2","0","1","2","1","0","0","0","MF",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/9e8264b7/Maxi-Rodriguez","9e8264b7","db43438e","Maxi Rodriguez","Starter","USA","DM","28-360","90","0","0","0","0","2","0","0","0","1","2","0","2","2","4","0","0","0","DM",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/fc40abc3/Rhys-Williams","fc40abc3","db43438e","Rhys Williams","Starter","USA","DM","28-360","90","0","0","0","0","0","0","0","0","0","5","1","3","1","0","0","0","0","DM",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/998268a4/Devon-Amoo-Mensah","998268a4","db43438e","Devon Amoo Mensah","Starter","USA","CB","28-250","90","0","0","0","0","1","0","0","0","2","2","0","0","1","3","0","0","0","CB",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/5a45c74d/Stephen-Carroll","5a45c74d","db43438e","Stephen Carroll","Starter","IRL","CB","30-247","90","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","0","0","CB",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/8e6965ad/Michael-Bryant","8e6965ad","db43438e","Michael Bryant","Starter","USA","CB","29-123","90","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Detroit City","https://fbref.com/en/players/6d7ab31d/Nathan-Steinwascher","6d7ab31d","db43438e","Nathan Steinwascher","Starter","USA","GK","31-170","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",3.0,1.0,2.0,66.7
"Rhode Island FC","https://fbref.com/en/players/d04dba18/JJ-Williams","d04dba18","db43438e","JJ Williams","Starter","USA","FW","26-212","65","0","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/0a4682a8/Mark-Doyle","0a4682a8","db43438e","Mark Doyle","Sub","IRL","FW,MF","25-258","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/655352d4/Albert-Dikwa","655352d4","db43438e","Albert Dikwa","Starter","CMR","FW","26-214","90","0","0","0","0","2","1","0","0","3","2","0","2","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/02019ede/Marc-Ybarra","02019ede","db43438e","Marc Ybarra","Starter","USA","CM","25-229","45","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/a2118e42/Zachary-Herivaux","a2118e42","db43438e","Zachary Herivaux","Sub","HAI","MF","28-184","45","0","0","0","0","0","0","1","0","1","1","0","0","1","1","0","0","0","MF",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/5be1df64/Noah-Fuson","5be1df64","db43438e","Noah Fuson","Starter","USA","CM","24-216","90","0","0","0","0","1","0","0","0","4","3","1","7","2","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/2ee31588/Clay-Holstad","2ee31588","db43438e","Clay Holstad","Starter","USA","CM","24-204","90","1","0","0","0","2","1","0","0","0","3","0","1","1","2","0","0","0","CM",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/cc61360d/Jojea-Kwizera","cc61360d","db43438e","Jojea Kwizera","Starter","RWA","LB","25-215","76","0","0","0","0","0","0","1","0","3","1","0","1","1","1","0","0","0","LB",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/2c2fe2ad/Isaac-Angking","2c2fe2ad","db43438e","Isaac Angking","Sub","PUR","MF","24-192","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/8ae297c7/Joe-Brito","8ae297c7","db43438e","Joe Brito","Sub","USA","MF","25-168","7","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/d085c340/Frank-Nodarse","d085c340","db43438e","Frank Nodarse","Starter","CUB","CB","23-241","90","0","0","0","0","0","0","0","0","0","1","0","0","4","3","0","0","0","CB",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/01880958/Karifa-Yao","01880958","db43438e","Karifa Yao","Starter","CAN","CB","23-310","90","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","CB",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/624ba068/Grant-Stoneman","624ba068","db43438e","Grant Stoneman","Starter","USA","CB","28-250","90","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","CB",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/5ef1aaae/Stephen-Turnbull","5ef1aaae","db43438e","Stephen Turnbull","Starter","USA","RB","26-143","76","0","0","0","0","3","0","0","0","2","1","0","1","1","2","0","0","0","RB",0.0,0.0,0.0,0.0
"Rhode Island FC","https://fbref.com/en/players/46c0b8fd/Conor-McGlynn","46c0b8fd","db43438e","Conor McGlynn","Sub","USA","DF,MF","25-257","14","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","DF",0.0,0.0,0.0,0.0
