team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Detroit City,https://fbref.com/en/players/2587e36f/Darren-Smith,2587e36f,c23aaa31,Darren Smith,RSA,FW,29-087,90,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/80afacdc/Connor-Rutz,80afacdc,c23aaa31,Connor Rutz,USA,FW,28-073,76,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/0b90fa20/Alassane-Diouf,0b90fa20,c23aaa31,Alassane Diouf,SEN,"FW,MF",25-089,14,1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/8c4614a8/Jeciel-Cedeno,8c4614a8,c23aaa31,Jeciel Cedeno,ECU,AM,25-079,83,1,0,0,0,2,1,0,0,0,4,0,2,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/d97fb164/Dominic-Gasso,d97fb164,c23aaa31,Dominic Gasso,USA,MF,21-307,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/c168f022/Alex-Villanueva,c168f022,c23aaa31,Alex Villanueva,USA,DM,22-347,68,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/fc40abc3/Rhys-Williams,fc40abc3,c23aaa31,Rhys Williams,USA,MF,29-316,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/34084a47/Abdoulaye-Diop,34084a47,c23aaa31,Abdoulaye Diop,SEN,DM,25-277,45,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/3bb4d381/Jay-Chapman,3bb4d381,c23aaa31,Jay Chapman,CAN,MF,31-171,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/1eaf599d/Ryan-Williams,1eaf599d,c23aaa31,Ryan Williams,ENG,DM,34-074,90,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,DM,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/6d9fe7bd/Matthew-Sheldon,6d9fe7bd,c23aaa31,Matthew Sheldon,USA,DM,32-302,90,0,0,0,0,1,0,1,0,4,4,0,4,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/998268a4/Devon-Amoo-Mensah,998268a4,c23aaa31,Devon Amoo Mensah,USA,CB,29-206,90,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/5a45c74d/Stephen-Carroll,5a45c74d,c23aaa31,Stephen Carroll,IRL,CB,31-203,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/9351a05c/Shane-Wiedt,9351a05c,c23aaa31,Shane Wiedt,USA,CB,29-337,83,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/8e6965ad/Michael-Bryant,8e6965ad,c23aaa31,Michael Bryant,USA,DF,30-080,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Detroit City,https://fbref.com/en/players/4e17631e/Carlos-Herrera,4e17631e,c23aaa31,Carlos Herrera,MEX,GK,27-282,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK,4.0,0.0,4.0,100.0
Miami FC,https://fbref.com/en/players/848f0ed6/Francisco-Bonfiglio,848f0ed6,c23aaa31,Francisco Bonfiglio,ESP,FW,23-170,90,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/d7cca61a/Lucas-Melano,d7cca61a,c23aaa31,Lucas Melano,ARG,AM,32-112,56,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/5244b91d/Tobias-Zarate,5244b91d,c23aaa31,Tobias Zarate,ARG,FW,24-349,34,0,0,0,0,3,1,0,0,1,0,0,4,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/4ddd0834/Sebastian-Blanco,4ddd0834,c23aaa31,Sebastian Blanco,ARG,AM,37-098,90,0,0,0,0,2,1,0,0,2,2,0,1,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/98a78008/Cristian-Vazquez,98a78008,c23aaa31,Cristian Vazquez,ARG,AM,26-222,45,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/98d3f3c3/Francesco-Celeste,98d3f3c3,c23aaa31,Francesco Celeste,ARG,MF,31-049,45,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/3c780537/Diego-Mercado,3c780537,c23aaa31,Diego Mercado,ARG,DM,28-169,56,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/b569b012/Deian-Veron,b569b012,c23aaa31,Deian Veron,ARG,MF,24-269,34,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/b5dda2b5/Matias-Romero,b5dda2b5,c23aaa31,Matias Romero,ARG,DM,29-140,90,0,0,0,0,2,0,0,0,1,1,0,3,0,3,0,0,0,DM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/eef6d077/Nicolas-Cardona,eef6d077,c23aaa31,Nicolas Cardona,PUR,LB,26-130,45,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,LB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/35b8a023/Alejandro-Mitrano,35b8a023,c23aaa31,Alejandro Mitrano,VEN,DF,27-078,45,0,0,0,0,0,0,0,0,1,2,0,4,0,1,0,0,0,DF,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/8ed78284/Bolu-Akinyode,8ed78284,c23aaa31,Bolu Akinyode,NGA,CB,31-022,90,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/cbd371eb/Daltyn-Knutson,cbd371eb,c23aaa31,Daltyn Knutson,USA,CB,28-112,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/5e44c0c6/Jonathan-Ricketts,5e44c0c6,c23aaa31,Jonathan Ricketts,USA,RB,27-213,68,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/dad5edbd/Michael-Lawrence,dad5edbd,c23aaa31,Michael Lawrence,USA,FW,25-346,17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/012fc030/Bill-Hamid,012fc030,c23aaa31,Bill Hamid,USA,GK,34-208,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,2.0,2.0,1.0,0.0
Indy Eleven,https://fbref.com/en/players/836c317b/Elvis-Amoh,836c317b,4bcf3b74,Elvis Amoh,GHA,FW,33-139,67,0,0,0,0,4,2,0,0,2,1,1,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/2f2c0ab1/Edward-Kizza,2f2c0ab1,4bcf3b74,Edward Kizza,UGA,FW,26-186,23,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/73366dc8/Aodhan-Quinn,73366dc8,4bcf3b74,Aodhan Quinn,USA,LM,33-091,66,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,LM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/5804f03b/Elliot-Collier,5804f03b,4bcf3b74,Elliot Collier,NZL,"FW,MF",30-119,24,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
