"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Penn FC","https://fbref.com/en/players/0f43b296/Isaac-Osae","0f43b296","81f02a69","Isaac Osae","Starter","GHA","FW","24-322","63","1","0","0","0","3","3","0","0","3","1","1","1","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/6d2f471c/Calvin-Rezende","6d2f471c","81f02a69","Calvin Rezende","Sub","USA","MF","25-166","27","0","0","0","0","2","1","0","0","2","1","0","0","0","2","0","0","0","MF",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/f1060eec/Fredrick-Yamoah-Opoku","f1060eec","81f02a69","Fredrick Yamoah Opoku","Starter","GHA","AM","20-290","90","1","0","0","0","5","2","0","0","0","2","0","6","1","3","0","0","0","AM",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/d4a2c910/Lucky-Mkosana","d4a2c910","81f02a69","Lucky Mkosana","Starter","ZIM","AM","30-279","90","1","1","0","0","8","2","0","0","0","0","0","0","2","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/232444f3/Paulo-Jr","232444f3","81f02a69","Paulo Jr","Starter","BRA","AM","29-164","70","0","0","0","0","4","0","0","0","0","0","0","5","4","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/482ef7a4/Jake-Bond","482ef7a4","81f02a69","Jake Bond","Sub","USA","DF","26-002","20","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/49da52a7/Richard-Menjivar","49da52a7","81f02a69","Richard Menjivar","Starter","SLV","DM","27-248","90","0","0","0","0","1","1","0","0","1","2","0","8","2","3","0","0","0","DM",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/cd99f700/Dan-Metzger","cd99f700","81f02a69","Dan Metzger","Starter","USA","DM","24-334","88","0","0","0","0","0","0","0","0","0","0","0","1","4","4","0","0","0","DM",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/1a4e42da/Miguel-Jaime","1a4e42da","81f02a69","Miguel Jaime","Sub","USA","MF","22-231","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/ce7708f2/Pedro-Galvao","ce7708f2","81f02a69","Pedro Galvao","Starter","POR","LB","29-110","90","0","0","0","0","2","1","0","0","1","1","0","2","1","5","0","0","0","LB",0.0,0.0,0.0,0.0
"Penn FC","https://fbref.com/en/players/6a8ab64b/Harri-Hawkins","6a8ab64b","81f02a69","Harri Hawkins","Starter","ENG","CB","25-128","90","0","0","0","0","2","1","0","0","1","0","0","0","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
