team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Louisville City,https://fbref.com/en/players/ca0756aa/Wilson-Harris,ca0756aa,a5f7473f,Wilson Harris,USA,FW,24-123,71,2,0,0,0,3,3,0,0,1,2,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/13ae5335/Jorge-Gonzalez,13ae5335,a5f7473f,Jorge Gonzalez,ESP,"FW,MF",25-153,19,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/d8c0039e/Ray-Serrano,d8c0039e,a5f7473f,Ray Serrano,USA,FW,21-326,90,1,1,0,0,3,1,0,0,0,3,0,6,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/298a167b/Adrien-Perez,298a167b,a5f7473f,Adrien Perez,USA,FW,28-169,83,0,1,0,0,4,0,0,0,1,3,0,3,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/690ab269/Evan-Davila,690ab269,a5f7473f,Evan Davila,USA,MF,22-057,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/056a4c3c/Jake-Morris,056a4c3c,a5f7473f,Jake Morris,USA,LM,25-027,89,1,0,0,0,4,1,0,0,1,1,0,3,0,1,0,0,0,LM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/fc7e6d10/Hayden-Stamps,fc7e6d10,a5f7473f,Hayden Stamps,USA,DF,16-060,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/53171f69/Elijah-Wynder,53171f69,a5f7473f,Elijah Wynder,USA,CM,21-020,71,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/4fbfe62d/Niall-McCabe,4fbfe62d,a5f7473f,Niall McCabe,USA,"FW,MF",33-176,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/73eec431/Taylor-Davila,73eec431,a5f7473f,Taylor Davila,USA,CM,23-239,90,1,1,0,0,2,1,1,0,1,0,0,5,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/ecd87b88/Jansen-Wilson,ecd87b88,a5f7473f,Jansen Wilson,USA,RM,22-290,45,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,0,0,RM,0.0,0.0,0.0,0.0
