"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Louisville City","https://fbref.com/en/players/7eadfdd6/Cameron-Lancaster","7eadfdd6","037b5958","Cameron Lancaster","Starter","ENG","FW","29-204","76","2","0","1","1","4","3","1","0","1","3","0","2","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/ca0756aa/Wilson-Harris","ca0756aa","037b5958","Wilson Harris","Sub","USA","FW","22-181","14","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/13ae5335/Jorge-Gonzalez","13ae5335","037b5958","Jorge Gonzalez","Starter","ESP","AM","23-211","76","0","0","0","0","2","1","1","0","2","1","1","3","0","1","0","0","0","AM",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/8a1526a8/Enoch-Mushagalusa","8a1526a8","037b5958","Enoch Mushagalusa","Sub","COD","FW,MF","22-196","14","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/009355ab/Paolo-DelPiccolo","009355ab","037b5958","Paolo DelPiccolo","Starter","USA","AM","31-000","76","0","0","0","0","2","1","0","0","3","0","0","0","0","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/7dec9be6/Napo-Matsoso","7dec9be6","037b5958","Napo Matsoso","Sub","LES","MF","28-001","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/3774549a/Brian-Ownby","3774549a","037b5958","Brian Ownby","Starter","USA","AM","31-316","90","0","0","0","0","1","1","0","0","2","4","0","3","3","1","0","0","0","AM",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/3c850ce0/Tyler-Gibson","3c850ce0","037b5958","Tyler Gibson","Starter","USA","DM","31-136","90","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","DM",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/5c98c6ce/Corben-Bone","5c98c6ce","037b5958","Corben Bone","Starter","USA","DM","33-254","90","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","DM",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/1650e261/Amadou-Dia","1650e261","037b5958","Amadou Dia","Starter","USA","LB","28-354","90","0","1","0","0","0","0","0","0","0","0","0","1","1","3","0","0","0","LB",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/48f46d3e/Joshua-Wynder","48f46d3e","037b5958","Joshua Wynder","Starter","USA","CB","17-026","90","0","0","0","0","3","1","0","0","2","2","0","0","0","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/6136d617/Sean-Totsch","6136d617","037b5958","Sean Totsch","Starter","USA","CB","30-254","90","0","0","0","0","1","0","0","0","1","2","0","0","0","2","0","0","0","CB",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/df5ee3d0/Oscar-Jimenez","df5ee3d0","037b5958","Oscar Jimenez","Starter","USA","RB","32-206","45","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","RB",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/27162b95/Manny-Perez","27162b95","037b5958","Manny Perez","Sub","USA","DF,MF","23-098","41","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","DF",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/70e35acb/Wesley-Charpie","70e35acb","037b5958","Wesley Charpie","Sub","USA","DF","29-205","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Louisville City","https://fbref.com/en/players/3f394ec5/Kyle-Morton","3f394ec5","037b5958","Kyle Morton","Starter","USA","GK","28-058","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",3.0,1.0,2.0,66.7
"FC Tulsa","https://fbref.com/en/players/7290cd0e/Brian-Brown","7290cd0e","037b5958","Brian Brown","Starter","JAM","FW","29-155","90","1","0","0","0","3","1","1","0","3","1","1","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/d04dba18/JJ-Williams","d04dba18","037b5958","JJ Williams","Starter","USA","FW","24-144","68","0","1","0","0","4","1","1","0","2","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/d87d5f74/Dario-Suarez","d87d5f74","037b5958","Dario Suarez","Sub","CUB","FW,MF","29-293","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/bffd7272/Joaquin-Rivas","bffd7272","037b5958","Joaquin Rivas","Starter","SLV","FW","30-032","90","0","0","0","0","1","1","0","0","1","2","0","3","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/97bfcd7f/Gabriel-Torres","97bfcd7f","037b5958","Gabriel Torres","Starter","BRA","LM","25-300","83","0","0","0","0","0","0","0","0","1","3","2","5","2","1","0","0","0","LM",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/201384f8/Petar-Cuic","201384f8","037b5958","Petar Cuic","Sub","CRO","MF","22-360","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/64b7bf0e/Eric-Bird","64b7bf0e","037b5958","Eric Bird","Starter","USA","CM","29-050","90","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","CM",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/068656ea/Kembo-Kibato","068656ea","037b5958","Kembo Kibato","Starter","CAN","CM","21-254","90","0","0","0","0","2","0","0","0","1","5","0","0","0","2","0","0","0","CM",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/b14da847/Abuchi-Obinwa","b14da847","037b5958","Abuchi Obinwa","Starter","USA","RM","25-133","69","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","RM",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/cbb8e1da/Ronald-Rodriguez","cbb8e1da","037b5958","Ronald Rodriguez","Sub","SLV","DF","23-248","21","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/bb67b6b0/Jorge-Luis-Corrales","bb67b6b0","037b5958","Jorge Luis Corrales","Starter","CUB","CB","31-008","72","0","0","0","0","0","0","0","0","1","1","0","1","2","2","0","0","0","CB",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/c40e115b/Matheus-Silva","c40e115b","037b5958","Matheus Silva","Sub","BRA","DF,MF","25-171","18","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/b3a1306b/Johnny-Fenwick","b3a1306b","037b5958","Johnny Fenwick","Starter","ENG","CB","27-189","90","0","0","0","0","0","0","1","0","4","0","0","1","1","0","0","0","0","CB",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/f36566e9/Bradley-Bourgeois","f36566e9","037b5958","Bradley Bourgeois","Starter","USA","CB","28-045","90","0","0","0","0","0","0","0","0","1","0","1","4","0","0","0","0","0","CB",0.0,0.0,0.0,0.0
"FC Tulsa","https://fbref.com/en/players/2906798d/Sean-Lewis","2906798d","037b5958","Sean Lewis","Starter","USA","GK","30-041","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",8.0,4.0,5.0,62.5
"Indy Eleven","https://fbref.com/en/players/83fdc123/Manuel-Arteaga","83fdc123","8fc77cba","Manuel Arteaga","Starter","VEN","FW","27-345","90","0","0","0","0","1","1","1","0","3","3","0","5","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/1470c0e9/Stefano-Pinho","1470c0e9","8fc77cba","Stefano Pinho","Starter","BRA","FW","31-136","90","1","0","0","0","3","1","0","0","3","2","0","0","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/064749ea/Jonas-Fjeldberg","064749ea","8fc77cba","Jonas Fjeldberg","Starter","NOR","LW","23-240","19","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","LW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/d12df9fe/Nicky-Law","d12df9fe","8fc77cba","Nicky Law","Sub","ENG","MF","34-060","71","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/503561e4/Noah-Powder","503561e4","8fc77cba","Noah Powder","Starter","TRI","RW","23-213","61","0","0","0","0","3","3","0","0","0","2","0","3","1","0","0","0","0","RW",0.0,0.0,0.0,0.0
"Indy Eleven","https://fbref.com/en/players/60b4d213/Solomon-Asante","60b4d213","8fc77cba","Solomon Asante","Sub","GHA","FW,MF","32-083","29","0","1","0","0","0","0","0","0","1","2","0","3","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
