"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Hartford Athletic","https://fbref.com/en/players/d04a3588/Darwin-Lom","d04a3588","af1d0aeb","Darwin Lom","Starter","GUA","FW","24-034","74","0","0","0","0","0","0","1","0","3","3","2","1","2","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/dbaba8aa/Sebastian-Elney","dbaba8aa","af1d0aeb","Sebastian Elney","Sub","HAI","FW","24-052","16","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/7f84bbd4/Juan-Carlos-Obregon","7f84bbd4","af1d0aeb","Juan Carlos Obregon","Starter","HON","FW","23-292","90","0","0","0","0","8","2","0","0","1","1","2","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/b9b0304a/Derek-Dodson","b9b0304a","af1d0aeb","Derek Dodson","Starter","USA","FW","22-287","53","1","0","0","0","2","1","0","0","1","1","0","0","0","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/cc9cf9da/Walmer-Martinez","cc9cf9da","af1d0aeb","Walmer Martinez","Sub","SLV","DF,MF","23-000","37","0","0","0","0","2","1","0","0","0","1","0","1","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/b2e0370d/Danny-Barrera","b2e0370d","af1d0aeb","Danny Barrera","Starter","USA","CM","31-221","82","1","1","1","1","2","1","0","0","1","3","0","7","1","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/46c0b8fd/Conor-McGlynn","46c0b8fd","af1d0aeb","Conor McGlynn","Sub","USA","DF,MF","22-270","8","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","DF",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/c644e140/Justin-Haak","c644e140","af1d0aeb","Justin Haak","Starter","USA","CM","19-339","82","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","CM",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/8c4614a8/Jeciel-Cedeno","8c4614a8","af1d0aeb","Jeciel Cedeno","Sub","ECU","FW,MF","21-136","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/c333af7a/Christian-Gomez","c333af7a","af1d0aeb","Christian Gomez","Starter","VEN","CM","22-175","81","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/49953793/Arthur-Rogers","49953793","af1d0aeb","Arthur Rogers","Sub","ENG","DF,MF","24-325","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/97bfcd7f/Gabriel-Torres","97bfcd7f","af1d0aeb","Gabriel Torres","Starter","BRA","LB","25-016","90","0","0","0","0","0","0","0","0","0","3","0","4","2","1","0","0","0","LB",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/8065d787/Thomas-Janjigian","8065d787","af1d0aeb","Thomas Janjigian","Starter","USA","CB","26-280","90","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/1cc1f1cf/Abdel-Yacoubou","1cc1f1cf","af1d0aeb","Abdel Yacoubou","Starter","TOG","CB","24-130","90","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","CB",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/1cdd642f/Younes-Boudadi","1cdd642f","af1d0aeb","Younes Boudadi","Starter","MAR","RB","25-206","90","0","0","0","0","1","0","1","0","3","0","0","2","3","2","0","0","0","RB",0.0,0.0,0.0,0.0
"Hartford Athletic","https://fbref.com/en/players/fd8f17fd/Jefferson-Caldwell","fd8f17fd","af1d0aeb","Jefferson Caldwell","Starter","USA","GK","25-178","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",4.0,1.0,3.0,75.0
"Charleston","https://fbref.com/en/players/68e684ee/Nicque-Daley","68e684ee","af1d0aeb","Nicque Daley","Starter","JAM","FW","20-302","90","0","0","0","0","1","0","1","0","0","2","1","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/c912dbcb/Claudio-Repetto","c912dbcb","af1d0aeb","Claudio Repetto","Starter","ITA","FW","24-196","69","1","0","0","0","2","1","0","0","1","0","0","0","1","1","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/7000e3a0/DZ-Harmon","7000e3a0","af1d0aeb","DZ Harmon","Sub","LBR","MF","24-299","21","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/7f3117a8/Stavros-Zarokostas","7f3117a8","af1d0aeb","Stavros Zarokostas","Starter","GRE","LM","23-285","90","0","0","0","0","2","0","0","0","3","3","0","1","0","2","0","0","0","LM",0.0,0.0,0.0,0.0
