team_name,player_url,player_id,match_id,player,lineup_status,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
CS Switchbacks,https://fbref.com/en/players/423af47f/Khori-Bennett,423af47f,c1af98ff,Khori Bennett,Starter,JAM,FW,28-091,90,0,0,0,0,3,1,0,0,1,3,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/b149b4ad/Yosuke-Hanya,b149b4ad,c1af98ff,Yosuke Hanya,Starter,JPN,AM,27-043,63,0,1,0,0,3,1,0,0,0,1,0,3,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/064749ea/Jonas-Fjeldberg,064749ea,c1af98ff,Jonas Fjeldberg,Sub,NOR,MF,27-165,27,1,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/298a167b/Adrien-Perez,298a167b,c1af98ff,Adrien Perez,Starter,USA,AM,30-152,87,0,0,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/473902d6/Juan-Tejada,473902d6,c1af98ff,Juan Tejada,Sub,PAN,"FW,MF",29-059,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/ec5c7bac/Levonte-Johnson,ec5c7bac,c1af98ff,Levonte Johnson,Starter,CAN,AM,26-364,73,1,0,0,0,5,3,0,0,0,1,0,3,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/44c8f10d/Sadam-Masereka,44c8f10d,c1af98ff,Sadam Masereka,Sub,UGA,FW,25-186,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/2b300bb2/Samuel-Williams,2b300bb2,c1af98ff,Samuel Williams,Starter,USA,DM,20-361,73,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/da10b749/Brennan-Creek,da10b749,c1af98ff,Brennan Creek,Sub,USA,MF,25-251,17,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,MF,0.0,0.0,0.0,0.0
CS Switchbacks,https://fbref.com/en/players/a6362b48/Steven-Echeverria,a6362b48,c1af98ff,Steven Echeverria,Starter,PUR,DM,29-339,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
