"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Timbers 2","https://fbref.com/en/players/8bb1c744/Augustine-Williams","8bb1c744","ce0b126a","Augustine Williams","Starter","SLE","FW","20-318","90","0","0","0","0","7","1","0","0","1","3","0","0","2","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/3fe0e991/Darixon-Vuelto","3fe0e991","ce0b126a","Darixon Vuelto","Starter","HON","AM","20-153","90","0","0","0","0","2","1","0","0","0","1","3","2","1","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/71380d87/Marvin-Loria","71380d87","ce0b126a","Marvin Loria","Starter","CRC","AM","21-054","90","0","0","0","0","1","0","0","0","1","1","0","4","1","2","0","0","0","AM",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/718ed84d/Harold-Hanson","718ed84d","ce0b126a","Harold Hanson","Starter","USA","AM","18-336","72","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","AM",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/6a1690bb/Devyn-Jambga","6a1690bb","ce0b126a","Devyn Jambga","Sub","USA","","23-147","18","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/526bf96c/Renzo-Zambrano","526bf96c","ce0b126a","Renzo Zambrano","Starter","VEN","DM","23-295","90","0","0","0","0","2","0","1","0","4","5","0","1","2","2","0","0","0","DM",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/a6290bda/Andre-Lewis","a6290bda","ce0b126a","Andre Lewis","Starter","JAM","DM","23-309","90","0","0","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","DM",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/e36b0e58/Nathan-Smith","e36b0e58","ce0b126a","Nathan Smith","Starter","USA","LB","23-242","90","0","0","0","0","0","0","0","0","1","3","0","0","2","2","0","0","0","LB",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/0cbd9569/Modou-Jadama","0cbd9569","ce0b126a","Modou Jadama","Starter","USA","CB","24-092","90","0","1","0","0","1","1","0","0","1","2","0","0","0","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/1aeef92e/Josh-Phillips","1aeef92e","ce0b126a","Josh Phillips","Starter","USA","CB","26-223","79","0","0","0","0","1","0","1","0","2","0","0","0","0","1","0","0","0","CB",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/32b30364/Lamar-Batista","32b30364","ce0b126a","Lamar Batista","Sub","USA","DF","20-102","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DF",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/28f0e88f/Jimmy-Mulligan","28f0e88f","ce0b126a","Jimmy Mulligan","Starter","USA","RB","26-309","90","0","0","0","0","0","0","0","0","1","0","0","2","0","4","0","0","0","RB",0.0,0.0,0.0,0.0
"Timbers 2","https://fbref.com/en/players/c16f7196/Alex-Mangels","c16f7196","ce0b126a","Alex Mangels","Starter","USA","GK","24-323","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",5.0,4.0,1.0,20.0
"CS Switchbacks","https://fbref.com/en/players/287a990e/Martin-Maybin","287a990e","ce0b126a","Martin Maybin","Starter","NIR","FW","26-158","72","1","0","0","0","1","1","0","0","1","2","1","0","1","2","0","0","0","FW",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/ae44ac8a/Akwafei-Ajeakwa","ae44ac8a","ce0b126a","Akwafei Ajeakwa","Sub","USA","FW","25-339","18","1","0","0","0","2","1","0","0","1","1","1","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/327dc5d7/Shane-Malcolm","327dc5d7","ce0b126a","Shane Malcolm","Starter","GUM","AM","26-247","90","0","1","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","AM",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/6948ed4a/Karsten-Hanlin","6948ed4a","ce0b126a","Karsten Hanlin","Starter","USA","DM","24-186","66","0","2","0","0","2","0","0","0","0","1","0","2","0","1","0","0","0","DM",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/70c4e220/Saeed-Robinson","70c4e220","ce0b126a","Saeed Robinson","Sub","JAM","FW,MF","27-313","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/1e2207ff/Sam-Hamilton","1e2207ff","ce0b126a","Sam Hamilton","Starter","USA","DM","22-325","90","0","0","0","0","0","0","1","0","3","1","0","0","2","2","0","0","0","DM",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/d032612d/Jordan-Schweitzer","d032612d","ce0b126a","Jordan Schweitzer","Starter","CAN","DM","24-059","90","0","0","0","0","1","0","1","0","2","2","0","0","0","0","0","0","0","DM",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/709073d7/Jordan-Burt","709073d7","ce0b126a","Jordan Burt","Starter","USA","DM","27-302","83","2","0","0","0","5","2","0","0","4","2","1","1","0","1","0","0","0","DM",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/42b44e97/Kim-Tae-seong","42b44e97","ce0b126a","Kim Tae seong","Sub","KOR","MF","24-233","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/311a4c0b/Josh-Suggs","311a4c0b","ce0b126a","Josh Suggs","Starter","USA","LB","29-052","90","0","1","0","0","1","1","0","0","0","1","0","6","2","4","0","0","0","LB",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/fe3e3ca8/Jamal-Jack","fe3e3ca8","ce0b126a","Jamal Jack","Starter","TRI","CB","30-182","90","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/ed4abb89/Pascal-Eboussi","ed4abb89","ce0b126a","Pascal Eboussi","Starter","CMR","CB","20-095","90","0","0","0","0","0","0","1","0","4","0","0","0","2","1","0","0","0","CB",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/94ddf612/Taylor-Hunter","94ddf612","ce0b126a","Taylor Hunter","Starter","USA","RB","24-345","90","0","0","0","0","0","0","0","0","0","0","0","1","2","3","0","0","0","RB",0.0,0.0,0.0,0.0
"CS Switchbacks","https://fbref.com/en/players/e00cd633/Steward-Ceus","e00cd633","ce0b126a","Steward Ceus","Starter","HAI","GK","31-083","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GK",4.0,1.0,3.0,75.0
"Fresno","https://fbref.com/en/players/9a241b77/Juan-Pablo-Caffa","9a241b77","ca385f3c","Juan Pablo Caffa","Starter","ARG","FW","33-260","61","0","0","0","0","3","2","0","0","0","0","0","4","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Fresno","https://fbref.com/en/players/dc1a6ae8/Renato-Bustamante","dc1a6ae8","ca385f3c","Renato Bustamante","Sub","PER","FW","28-064","29","1","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Fresno","https://fbref.com/en/players/30b620ed/Christian-Chaney","30b620ed","ca385f3c","Christian Chaney","Starter","USA","FW","23-282","76","1","1","0","0","1","1","0","0","4","5","2","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Fresno","https://fbref.com/en/players/3e7d291b/Franck-Tayou","3e7d291b","ca385f3c","Franck Tayou","Sub","CMR","FW","28-062","14","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
