team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
B'ham Legion,https://fbref.com/en/players/f20ca027/Diba-Nwegbo,f20ca027,0f06a7c3,Diba Nwegbo,NGA,FW,22-180,53,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/a4e068dc/Prosper-Kasim,a4e068dc,0f06a7c3,Prosper Kasim,GHA,"FW,MF",27-197,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/3a7bec1b/Tyler-Pasher,3a7bec1b,0f06a7c3,Tyler Pasher,CAN,FW,30-063,90,0,0,0,0,3,2,0,0,0,1,0,9,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/75a0181e/Preston-Tabortetaka,75a0181e,0f06a7c3,Preston Tabortetaka,CMR,FW,26-019,90,1,0,0,0,2,1,0,0,1,0,1,4,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/c61aafd8/Moses-Mensah,c61aafd8,0f06a7c3,Moses Mensah,GHA,CM,25-319,63,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/61f7e18e/Miguel-Perez,61f7e18e,0f06a7c3,Miguel Perez,USA,MF,19-062,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/a928bb49/Kobe-Hernandez-Foster,a928bb49,0f06a7c3,Kobe Hernandez Foster,USA,CM,22-003,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/e41bbc5d/Enzo-Martinez,e41bbc5d,0f06a7c3,Enzo Martinez,URU,CM,33-274,90,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,CM,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/0e104fd6/AJ-Paterson,0e104fd6,0f06a7c3,AJ Paterson,GRN,LB,28-150,70,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,LB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/aaa630ad/Ramiz-Hamouda,aaa630ad,0f06a7c3,Ramiz Hamouda,USA,DF,16-034,20,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,DF,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/ff98d5ca/Phanuel-Kavita,ff98d5ca,0f06a7c3,Phanuel Kavita,RWA,CB,31-112,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/1169c5eb/Alex-Crognale,1169c5eb,0f06a7c3,Alex Crognale,USA,CB,29-307,90,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/b9b0304a/Derek-Dodson,b9b0304a,0f06a7c3,Derek Dodson,USA,RB,25-239,90,0,0,0,0,1,1,0,0,2,2,0,2,0,1,0,0,0,RB,0.0,0.0,0.0,0.0
B'ham Legion,https://fbref.com/en/players/203e4a15/Jayden-Hibbert,203e4a15,0f06a7c3,Jayden Hibbert,CAN,GK,19-329,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GK,8.0,4.0,4.0,50.0
Louisville City,https://fbref.com/en/players/ca0756aa/Wilson-Harris,ca0756aa,0f06a7c3,Wilson Harris,USA,FW,24-214,83,1,1,0,0,4,3,0,0,1,0,0,1,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/96d8bcfb/Tola-Showunmi,96d8bcfb,0f06a7c3,Tola Showunmi,ENG,FW,23-362,7,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/13ae5335/Jorge-Gonzalez,13ae5335,0f06a7c3,Jorge Gonzalez,ESP,FW,25-244,41,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/86626b82/Sam-Gleadle,86626b82,0f06a7c3,Sam Gleadle,ENG,"DF,MF",28-101,49,1,0,0,0,3,3,0,0,1,0,1,0,0,1,0,0,0,DF,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/d8c0039e/Ray-Serrano,d8c0039e,0f06a7c3,Ray Serrano,USA,FW,22-051,90,1,0,0,0,4,1,0,0,1,1,1,7,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/056a4c3c/Jake-Morris,056a4c3c,0f06a7c3,Jake Morris,USA,LM,25-118,89,0,1,0,0,4,0,0,0,1,1,0,7,0,1,0,0,0,LM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/1650e261/Amadou-Dia,1650e261,0f06a7c3,Amadou Dia,USA,"DF,MF",31-021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/53171f69/Elijah-Wynder,53171f69,0f06a7c3,Elijah Wynder,USA,CM,21-111,89,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/4fbfe62d/Niall-McCabe,4fbfe62d,0f06a7c3,Niall McCabe,USA,"FW,MF",33-267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/73eec431/Taylor-Davila,73eec431,0f06a7c3,Taylor Davila,USA,CM,23-330,90,0,0,0,0,1,0,0,0,2,0,0,5,0,3,0,0,0,CM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/eed1b8f6/Aiden-McFadden,eed1b8f6,0f06a7c3,Aiden McFadden,USA,RM,25-275,83,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,RM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/ecd87b88/Jansen-Wilson,ecd87b88,0f06a7c3,Jansen Wilson,USA,"FW,MF",23-015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/70e35acb/Wesley-Charpie,70e35acb,0f06a7c3,Wesley Charpie,USA,CB,31-238,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,CB,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/16ecce68/Arturo-Ordonez,16ecce68,0f06a7c3,Arturo Ordonez,ESP,CB,27-038,90,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/6136d617/Sean-Totsch,6136d617,0f06a7c3,Sean Totsch,USA,CB,32-287,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/2aa97663/Damian-Las,2aa97663,0f06a7c3,Damian Las,USA,GK,22-079,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,5.0,1.0,4.0,80.0
Miami FC,https://fbref.com/en/players/a604b2a4/Frank-Lopez,a604b2a4,6a75f419,Frank Lopez,CUB,FW,29-125,88,0,0,0,0,3,0,1,0,1,0,2,1,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/a6f246c0/Marco-Santana,a6f246c0,6a75f419,Marco Santana,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/ec54cf3c/Allen-Gavilanes,ec54cf3c,6a75f419,Allen Gavilanes,USA,FW,24-310,90,0,0,0,0,1,0,0,0,2,2,0,6,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/3a84b4f3/Rocco-Genzano,3a84b4f3,6a75f419,Rocco Genzano,ITA,CM,20-045,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/2509d2df/Andrew-Booth,2509d2df,6a75f419,Andrew Booth,JAM,CM,26-349,58,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/ed550cbe/Gabriel-de-Freitas,ed550cbe,6a75f419,Gabriel de Freitas,BRA,MF,27-061,32,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/a64efc37/Manuel-Botta,a64efc37,6a75f419,Manuel Botta,ITA,CM,21-349,45,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,CM,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/6f6d3b97/Khalid-Balogun,6f6d3b97,6a75f419,Khalid Balogun,USA,FW,25-340,45,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/35b8a023/Alejandro-Mitrano,35b8a023,6a75f419,Alejandro Mitrano,VEN,LB,26-086,90,0,0,0,0,2,1,0,0,3,2,1,3,0,0,0,0,0,LB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/2bfb7026/Danny-Barbir,2bfb7026,6a75f419,Danny Barbir,USA,CB,26-150,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/b6666f09/Junior-Palacios,b6666f09,6a75f419,Junior Palacios,COL,CB,27-339,87,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/eef6d077/Nicolas-Cardona,eef6d077,6a75f419,Nicolas Cardona,PUR,CB,25-139,90,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
Miami FC,https://fbref.com/en/players/23df073a/Chris-Jean-Francois,23df073a,6a75f419,Chris Jean Francois,,RB,0,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,RB,0.0,0.0,0.0,0.0
