team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
NY Red Bulls II,https://fbref.com/en/players/de7a0fe6/Serge-Ngoma,de7a0fe6,227c74c6,Serge Ngoma,USA,FW,16-257,32,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,FW,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/2b300bb2/Samuel-Williams,2b300bb2,227c74c6,Samuel Williams,USA,MF,17-005,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/58a69838/Jonathan-Filipe,58a69838,227c74c6,Jonathan Filipe,USA,AM,23-072,90,0,0,0,0,1,0,1,0,3,3,1,0,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/74ba46bc/Zach-Ryan,74ba46bc,227c74c6,Zach Ryan,USA,AM,23-068,90,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/22fe9049/Jason-Pendant,22fe9049,227c74c6,Jason Pendant,VIE,AM,25-042,74,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/f1e19fad/Jordan-Adebayo-Smith,f1e19fad,227c74c6,Jordan Adebayo Smith,NGA,FW,22-071,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/ca9ccbf2/Jeremy-Rafanello,ca9ccbf2,227c74c6,Jeremy Rafanello,USA,DM,21-343,90,0,0,0,0,1,0,0,0,0,1,2,6,0,0,0,0,0,DM,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/1aa8d821/John-Murphy,1aa8d821,227c74c6,John Murphy,USA,DM,21-338,90,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,DM,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/8c38e57e/Curtis-Ofori,8c38e57e,227c74c6,Curtis Ofori,USA,LB,16-123,73,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,LB,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/614f243a/John-Cortez,614f243a,227c74c6,John Cortez,USA,DF,18-014,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/013e66bb/Juan-Castillo,013e66bb,227c74c6,Juan Castillo,COL,CB,19-171,90,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,CB,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/a6c07c6b/Lamine-Conte,a6c07c6b,227c74c6,Lamine Conte,USA,CB,23-220,85,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,CB,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/5b1f7097/OVonte-Mullings,5b1f7097,227c74c6,OVonte Mullings,CAN,RB,21-165,90,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,RB,0.0,0.0,0.0,0.0
NY Red Bulls II,https://fbref.com/en/players/20c86a38/AJ-Marcucci,20c86a38,227c74c6,AJ Marcucci,USA,GK,22-235,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GK,6.0,2.0,4.0,66.7
Louisville City,https://fbref.com/en/players/ca0756aa/Wilson-Harris,ca0756aa,227c74c6,Wilson Harris,USA,FW,22-115,90,1,0,0,0,3,2,0,0,3,2,3,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/8a1526a8/Enoch-Mushagalusa,8a1526a8,227c74c6,Enoch Mushagalusa,COD,AM,22-130,65,0,0,0,0,1,1,1,0,2,2,1,1,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/3774549a/Brian-Ownby,3774549a,227c74c6,Brian Ownby,USA,"FW,MF",31-250,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/009355ab/Paolo-DelPiccolo,009355ab,227c74c6,Paolo DelPiccolo,USA,AM,30-299,90,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,AM,0.0,0.0,0.0,0.0
Louisville City,https://fbref.com/en/players/d8c0039e/Ray-Serrano,d8c0039e,227c74c6,Ray Serrano,USA,AM,19-318,64,1,0,0,0,2,2,0,0,0,3,0,4,0,1,0,0,0,AM,0.0,0.0,0.0,0.0
