team_name,team_id,season_id,match_count,regular_season_end_position,regular_season_end_points,regular_season_end_points_per_match,regular_season_end_goal_difference,regular_season_end_goals_scored,regular_season_end_goals_scored_rank,regular_season_end_goals_scored_per_match,regular_season_end_goals_conceded,regular_season_end_goals_conceded_rank,regular_season_end_goals_conceded_per_match,regular_season_longest_consecutive_win_count,regular_season_win_percentage,first_playoff_round_match_location_is_home,playoff_run_home_percentage,playoff_result,is_playoff_champion
Phx Rising,bc2306d840e3c6b65bde80a4061c9d7a,73_2021,32,2,67.0,2.09375,33.0,68.0,1,2.125,35.0,5,1.09375,6.0,0.625,1,1.0,Lost in Conference Quarterfinals,0
Indy Eleven,f8adf1226c6b79830a8d75f0060f13dc,73_2024,34,8,51.0,1.5,-1.0,49.0,8,1.4411764705882353,50.0,20,1.4705882352941178,8.0,0.4117647058823529,1,1.0,Lost in Conference Quarterfinals,0
Saint Louis FC,136d49ac019e958fed88a015c8d5b3a1,73_2018,34,11,53.0,1.5588235294117647,6.0,44.0,19,1.2941176470588236,38.0,9,1.1176470588235294,4.0,0.4117647058823529,0,0.0,Lost in Conference Quarterfinals,0
El Paso,1b75f7197aac9bde82a11e7020169923,73_2025,30,10,41.0,1.3666666666666667,2.0,47.0,6,1.5666666666666667,45.0,16,1.5,2.0,0.3333333333333333,1,1.0,Lost in Conference Quarterfinals,0
Louisville City,1f8a0d289d2c4e85f0ee8426fbb1d735,73_2018,34,2,66.0,1.9411764705882353,33.0,71.0,2,2.088235294117647,38.0,6,1.1176470588235294,6.0,0.5588235294117647,1,1.0,Playoff Champions,1
Phx Rising,bc2306d840e3c6b65bde80a4061c9d7a,73_2020,16,2,35.0,2.1875,29.0,46.0,1,2.875,17.0,9,1.0625,4.0,0.6875,1,0.5,Lost in Final,0
Hartford Athletic,ee774868e2f3cbe08a8e318bdfe58f2e,73_2025,30,7,44.0,1.4666666666666666,12.0,48.0,4,1.6,36.0,8,1.2,3.0,0.43333333333333335,0,0.0,Lost in Conference Quarterfinals,0
OKC Energy,0130d9566d25a2eb82870c28ba319bc7,73_2017,32,10,49.0,1.53125,5.0,46.0,12,1.4375,41.0,13,1.28125,4.0,0.4375,0,0.0,Lost in Conference Finals,0
FC Tulsa,cc21989db60b215b5fb817c45d1b687b,73_2025,30,3,57.0,1.9,20.0,50.0,3,1.6666666666666667,30.0,5,1.0,3.0,0.5333333333333333,1,1.0,Lost in Final,0
Reno 1868,ef76a9a76062ac9efeeade963ee7d665,73_2017,32,4,59.0,1.84375,36.0,75.0,1,2.34375,39.0,11,1.21875,6.0,0.53125,1,1.0,Lost in Conference Quarterfinals,0
